date,competition,home_team,score,away_team,venue
2020-10-12,Friendly,Ghana,5-1,Qatar,"Aksu, Turkey"
2020-11-13,Friendly,Costa Rica,1-1,Qatar,"Maria Enzersdorf, Austria"
2020-11-17,Friendly,South Korea,2-1,Qatar,"Maria Enzersdorf, Austria"
2020-12-04,2022 World Cup qualification,Qatar,5-0,Bangladesh,"Al Rayyan, Qatar"
2021-03-24,Friendly,Qatar,1-0,Luxembourg,"Debrecen, Hungary"
2021-03-27,Friendly,Qatar,2-1,Azerbaijan,"Debrecen, Hungary"
2021-03-30,Friendly,Qatar,1-1,Republic of Ireland,"Debrecen, Hungary"
2021-06-03,2022 World Cup qualification,India,0-1,Qatar,"Al Rayyan, Qatar"
2021-06-07,2022 World Cup qualification,Oman,0-1,Qatar,"Al Rayyan, Qatar"
2021-07-04,Friendly,Qatar,1-0,El Salvador,"Pula, Croatia"
2021-07-13,2021 Gold Cup,Qatar,3-3,Panama,"Houston, United States"
2021-07-17,2021 Gold Cup,Grenada,0-4,Qatar,"Houston, United States"
2021-07-20,2021 Gold Cup,Honduras,0-2,Qatar,"Houston, United States"
2021-07-24,2021 Gold Cup QF,Qatar,3-2,El Salvador,"Glendale, United States"
2021-07-29,2021 Gold Cup SF,Qatar,0-1,United States,"Austin, United States"
2021-09-01,Friendly,Qatar,0-4,Serbia,"Debrecen, Hungary"
2021-09-04,Friendly,Qatar,1-3,Portugal,"Debrecen, Hungary"
2021-09-07,Friendly,Luxembourg,1-1,Qatar,"Luxembourg, Luxembourg"
2021-10-09,Friendly,Portugal,3-0,Qatar,"Faro / Loulé, Portugal"
2021-10-12,Friendly,Republic of Ireland,4-0,Qatar,"Dublin, Republic of Ireland"
2021-11-11,Friendly,Serbia,4-0,Qatar,"Belgrade, Serbia"
2021-11-14,Friendly,Azerbaijan,2-2,Qatar,"Baku, Azerbaijan"
2021-11-30,2021 FIFA Arab Cup,Qatar,1-0,Bahrain,"Al Khor, Qatar"
2021-12-03,2021 FIFA Arab Cup,Oman,1-2,Qatar,"Al Rayyan, Qatar"
2021-12-06,2021 FIFA Arab Cup,Qatar,3-0,Iraq,"Al Khor, Qatar"
2021-12-10,2021 FIFA Arab Cup QF,Qatar,5-0,United Arab Emirates,"Al Khor, Qatar"
2021-12-15,2021 FIFA Arab Cup SF,Qatar,1-2,Algeria,"Doha, Qatar"
2021-12-18,2021 FIFA Arab Cup 3rd,Egypt,0-0,Qatar,"Doha, Qatar"
2022-03-26,Friendly,Qatar,2-1,Bulgaria,"Al Rayyan, Qatar"
2022-03-29,Friendly,Qatar,0-0,Slovenia,"Al Rayyan, Qatar"
2022-08-20,Friendly,Qatar,2-2,Morocco,"Wiener Neustadt, Austria"
2022-08-26,Friendly,Qatar,1-1,Jamaica,"Wiener Neustadt, Austria"
2022-09-23,Friendly,Qatar,0-2,Canada,"Vienna, Austria"
2022-09-27,Friendly,Qatar,2-2,Chile,"Vienna, Austria"
2022-10-13,Unofficial friendly,Qatar,2-1,Nicaragua,"San Pedro Alcántara, Spain"
2022-10-23,Friendly,Qatar,2-0,Guatemala,"San Pedro Alcántara, Spain"
2022-10-27,Friendly,Qatar,1-0,Honduras,"Marbella, Spain"
2022-11-05,Friendly,Qatar,2-1,Panama,"Marbella, Spain"
2022-11-09,Friendly,Albania,0-1,Qatar,"Marbella, Spain"
2022-11-20,2022 FIFA World Cup,Qatar,0-2,Ecuador,"Al Khor, Qatar"
2022-11-25,2022 FIFA World Cup,Qatar,1-3,Senegal,"Doha, Qatar"
2023-06-15,Friendly,Jamaica,1-2,Qatar,"Wiener Neustadt, Austria"
2023-12-31,Friendly,Qatar,3-0,Cambodia,"Al Rayyan, Qatar"
2024-01-05,Friendly,Qatar,1-2,Jordan,"Al Rayyan, Qatar"
2024-02-03,2023 AFC Asian Cup QF,Qatar,1-1,Uzbekistan,"Al Khor, Qatar"
2024-02-07,2023 AFC Asian Cup SF,Iran,2-3,Qatar,"Doha, Qatar"
