date,competition,home_team,score,away_team,venue
2020-10-09,2022 FIFA World Cup qualification,Brazil,5-0,Bolivia,"Arena Corinthians, São Paulo"
2020-10-13,2022 FIFA World Cup qualification,Peru,2-4,Brazil,"Estadio Nacional, Lima"
2020-11-13,2022 FIFA World Cup qualification,Brazil,1-0,Venezuela,"Estádio do Morumbi, São Paulo"
2020-11-17,2022 FIFA World Cup qualification,Uruguay,0-2,Brazil,"Estadio Centenario, Montevideo"
2021-06-04,2022 FIFA World Cup qualification,Brazil,2-0,Ecuador,"Estádio Beira-Rio, Porto Alegre"
2021-06-08,2022 FIFA World Cup qualification,Paraguay,0-2,Brazil,"Estadio Defensores del Chaco, Asunción"
2021-06-13,2021 Copa América,Brazil,3-0,Venezuela,"Estádio Nacional Mané Garrincha, Brasília"
2021-06-17,2021 Copa América,Brazil,4-0,Peru,"Estádio Olímpico Nilton Santos, Rio de Janeiro"
2021-06-23,2021 Copa América,Brazil,2-1,Colombia,"Estádio Olímpico Nilton Santos, Rio de Janeiro"
2021-06-27,2021 Copa América,Brazil,1-1,Ecuador,"Estádio Olímpico Pedro Ludovico, Goiânia"
2021-07-02,2021 Copa América,Brazil,1-0,Chile,"Estádio Olímpico Nilton Santos, Rio de Janeiro"
2021-07-05,2021 Copa América,Brazil,1-0,Peru,"Estádio Olímpico Nilton Santos, Rio de Janeiro"
2021-07-10,2021 Copa América,Brazil,0-1,Argentina,"Maracanã Stadium, Rio de Janeiro"
2021-09-02,2022 FIFA World Cup qualification,Chile,0-1,Brazil,"Estadio Monumental, Santiago"
2021-09-09,2022 FIFA World Cup qualification,Brazil,2-0,Peru,"Arena Pernambuco, São Lourenço da Mata"
2021-10-07,2022 FIFA World Cup qualification,Venezuela,1-3,Brazil,"Olympic Stadium, Caracas"
2021-10-10,2022 FIFA World Cup qualification,Colombia,0-0,Brazil,"Estadio Metropolitano, Barranquilla"
2021-10-14,2022 FIFA World Cup qualification,Brazil,4-1,Uruguay,"Arena da Amazônia, Manaus"
2021-11-11,2022 FIFA World Cup qualification,Brazil,1-0,Colombia,"Arena Corinthians, São Paulo"
2021-11-16,2022 FIFA World Cup qualification,Argentina,0-0,Brazil,"Estadio San Juan del Bicentenario, San Juan"
2022-01-27,2022 FIFA World Cup qualification,Ecuador,1-1,Brazil,"Estadio Rodrigo Paz Delgado, Quito"
2022-02-01,2022 FIFA World Cup qualification,Brazil,4-0,Paraguay,"Mineirão, Belo Horizonte"
2022-03-24,2022 FIFA World Cup qualification,Brazil,4-0,Chile,"Maracanã Stadium, Rio de Janeiro"
2022-03-29,2022 FIFA World Cup qualification,Bolivia,0-4,Brazil,"Estadio Hernando Siles, La Paz"
2022-06-02,Friendly,South Korea,1-5,Brazil,"Seoul World Cup Stadium, Seoul"
2022-06-06,2022 Kirin Challenge Cup,Japan,0-1,Brazil,"Japan National Stadium, Tokyo"
2022-09-23,Friendly,Brazil,3-0,Ghana,"Stade Océane, Le Havre"
2022-09-27,Friendly,Brazil,5-1,Tunisia,"Parc des Princes, Paris"
2022-11-24,2022 FIFA World Cup,Brazil,2-0,Serbia,"Lusail Iconic Stadium, Lusail"
2022-11-28,2022 FIFA World Cup,Brazil,1-0,Switzerland,"Stadium 974, Doha"
2022-12-02,2022 FIFA World Cup,Brazil,0-1,Cameroon,"Lusail Iconic Stadium, Lusail"
2022-12-05,2022 FIFA World Cup,Brazil,4-1,South Korea,"Stadium 974, Doha"
2022-12-09,2022 FIFA World Cup,Brazil,1-1,Croatia,"Education City Stadium, Al Rayyan"
2023-03-25,Friendly,Morocco,2-1,Brazil,"Ibn Batouta Stadium, Tangier"
2023-06-17,Friendly,Brazil,4-1,Guinea,"RCDE Stadium, Barcelona"
2023-06-20,Friendly,Brazil,2-4,Senegal,"Estádio José Alvalade, Lisbon"
2023-09-08,2026 FIFA World Cup qualification,Brazil,5-1,Bolivia,"Estádio Olímpico do Pará, Belém"
2023-09-12,2026 FIFA World Cup qualification,Peru,0-1,Brazil,"Estádio Nacional, Lima"
2023-10-12,2026 FIFA World Cup qualification,Brazil,1-1,Venezuela,"Arena Pantanal, Cuiabá"
2023-10-17,2026 FIFA World Cup qualification,Uruguay,2-0,Brazil,"Estadio Centenatio, Montevideo"
2023-11-16,2026 FIFA World Cup qualification,Colombia,2-1,Brazil,"Estadio Metropolitano, Barranquilla"
2023-11-21,2026 FIFA World Cup qualification,Brazil,0-1,Argentina,"Maracanã Stadium, Rio de Janeiro"
2024-03-23,Friendly,England,0-1,Brazil,"Wemblew Stadium, London"
2024-03-26,Friendly,Spain,3-3,Brazil,"Santiago Bernabéu, Madrid"
2024-06-08,Friendly,Brazil,3-2,Mexico,"Kyle Field, College Station, Texas"
2024-06-12,Friendly,United States,1-1,Brazil,"Camping World Stadium, Orlando, Florida"
2024-06-24,2024 Copa América,Brazil,0-0,Costa Rica,"SoFi Stadium, Inglewood, California"
2024-06-28,2024 Copa América,Brazil,4-1,Paraguay,"Allegiant Stadium, Paradise, Nevada"
2024-07-02,2024 Copa América,Brazil,1-1,Colombia,"Levi's Stadium, Santa Clara, California"
2024-07-06,2024 Copa América,Brazil,0-0,Uruguay,"Allegiant Stadium, Paradise, Nevada"
2024-09-06,2026 FIFA World Cup qualification,Brazil,1-0,Ecuador,"Estádio Couto Pereira, Curitiba"
2024-09-10,2026 FIFA World Cup Qualification,Paraguay,1-0,Brazil,"Estadio Defensores del Chaco, Asunción"
2024-10-10,2026 FIFA World Cup Qualification,Chile,1-2,Brazil,"Estadio Nacional Julio Martínez Prádanos, Santiago"
2024-10-15,2026 FIFA World Cup Qualification,Brazil,4-0,Peru,"Estádio Nacional Mané Garrincha, Brasília"
2024-11-14,2026 FIFA World Cup qualification,Venezuela,1-1,Brazil,"Estadio Monumental, Maturín"
2024-11-19,2026 FIFA World Cup qualification,Brazil,1-1,Uruguay,"Arena Fonte Nova, Salvador"
2025-03-20,2026 FIFA World Cup qualification,Brazil,2-1,Colombia,"Estádio Nacional Mané Garrincha, Brasília"
2025-03-25,2026 FIFA World Cup qualification,Argentina,4-1,Brazil,"Estadio Monumental, Buenos Aires"
2025-06-05,2026 FIFA World Cup qualification,Ecuador,0-0,Brazil,"Estadio Monumental Isidro Romero Carbo, Guayaquil"
2025-06-10,2026 FIFA World Cup qualification,Brazil,1-0,Paraguay,"Neo Química Arena, São Paulo"
2025-09-04,2026 FIFA World Cup qualification,Brazil,3-0,Chile,"Maracanã, Rio de Janeiro"
2025-09-09,2026 FIFA World Cup qualification,Bolivia,1-0,Brazil,"El Alto Municipal Stadium, El Alto"
2025-10-10,Friendly,South Korea,5-0,Brazil,"Seoul World Cup Stadium, Seoul"
2025-10-14,Friendly,Japan,3-2,Brazil,"Ajinomoto Stadium, Chōfu"
2025-11-15,Friendly,Brazil,2-0,Senegal,"Emirates Stadium, London"
2025-11-18,Friendly,Brazil,1-1,Tunisia,"Stade Pierre-Mauroy, Lille"
2026-03-26,Friendly,Brazil,1-2,France,"Gillette Stadium, Foxborough"
2026-03-31,Friendly,Brazil,3-1,Croatia,"Camping World Stadium, Orlando"
