date,competition,home_team,score,away_team,venue
2021-03-25,2022 FIFA World Cup qualification,Haiti,2-0,Belize,"Stade Sylvio Cator, Port-au-Prince"
2021-06-05,2022 FIFA World Cup qualification,Turks and Caicos Islands,0-10,Haiti,"TCIFA National Academy, Providenciales"
2021-06-08,2022 FIFA World Cup qualification,Haiti,1-0,Nicaragua,"Stade Sylvio Cator, Port-au-Prince"
2021-06-12,2022 FIFA World Cup qualification,Haiti,0-1,Canada,"Stade Sylvio Cator, Port-au-Prince"
2021-06-15,2022 FIFA World Cup qualification,Haiti,0-3,Canada,"SeatGeek Stadium, Bridgeview"
2021-07-02,2021 CONCACAF Gold Cup qualification,Haiti,6-1,Saint Vincent and the Grenadines,"DRV PNK Stadium, Fort Lauderdale"
2021-07-06,2021 CONCACAF Gold Cup qualification,Haiti,4-1,Bermuda,"DRV PNK Stadium, Fort Lauderdale"
2021-07-11,2021 CONCACAF Gold Cup,Haiti,0-1,United States,"Children's Mercy Park, Kansas City"
2021-07-15,2021 CONCACAF Gold Cup,Haiti,1-4,Canada,"Children's Mercy Park, Kansas City"
2021-07-18,2021 CONCACAF Gold Cup,Haiti,2-1,Martinique,"Toyota Stadium, Frisco"
2021-09-01,Friendly,Bahrain,6-1,Haiti,"Bahrain National Stadium, Riffa"
2021-09-04,Friendly,Haiti,2-0,Jordan,"Bahrain National Stadium, Riffa"
2022-03-27,Friendly,Haiti,1-2,Guatemala,"DRV PNK Stadium, Fort Lauderdale"
2022-06-04,2022–23 CONCACAF Nations League B,Bermuda,0-0,Haiti,"Bermuda National Stadium, Devonshire Parish"
2022-06-07,2022–23 CONCACAF Nations League B,Haiti,3-2,Montserrat,"Félix Sánchez Olympic Stadium, Santo Domingo"
2022-06-11,2022–23 CONCACAF Nations League B,Guyana,2-6,Haiti,"Synthetic Track and Field Facility, Leonora"
2022-06-14,2022–23 CONCACAF Nations League B,Haiti,6-0,Guyana,"Félix Sánchez Olympic Stadium, Santo Domingo"
2023-03-25,2022–23 CONCACAF Nations League B,Montserrat,0-4,Haiti,"Blakes Estate Stadium, Look Out"
2023-03-28,2022–23 CONCACAF Nations League B,Haiti,3-1,Bermuda,"Estadio Panamericano, San Cristóbal"
2023-06-13,Friendly,Haiti,3-1,Saint Kitts and Nevis,"Gardens North County District Park, Palm Beach Gardens"
2023-06-20,Friendly,Haiti,0-0,Trinidad and Tobago,"Gardens North County District Park, Palm Beach Gardens"
2023-06-25,2023 CONCACAF Gold Cup,Haiti,2-1,Qatar,"NRG Stadium, Houston"
2023-06-29,2023 CONCACAF Gold Cup,Haiti,1-3,Mexico,"State Farm Stadium, Glendale"
2023-07-02,2023 CONCACAF Gold Cup,Haiti,1-2,Honduras,"Bank of America Stadium, Charlotte"
2023-09-08,2023–24 CONCACAF Nations League A,Haiti,0-0,Cuba,"Estadio Panamericano, San Cristóbal"
2023-09-12,2023–24 CONCACAF Nations League A,Jamaica,2-2,Haiti,"Independence Park, Kingston"
2023-10-12,2023–24 CONCACAF Nations League A,Suriname,1-1,Haiti,"Dr. Ir. Franklin Essed Stadion, Paramaribo"
