date,competition,home_team,score,away_team,venue
2021-06-03,2022 WCQ / 2023 ACQ,Australia,3-0,Kuwait,"Kuwait City, Kuwait"
2021-06-07,2022 WCQ / 2023 ACQ,Australia,5-1,Chinese Taipei,"Kuwait City, Kuwait"
2021-06-11,2022 WCQ / 2023 ACQ,Nepal,0-3,Australia,"Kuwait City, Kuwait"
2021-06-15,2022 WCQ / 2023 ACQ,Australia,1-0,Jordan,"Kuwait City, Kuwait"
2021-09-02,2022 World Cup qualification,Australia,3-0,China,"Doha, Qatar"
2021-09-07,2022 World Cup qualification,Vietnam,0-1,Australia,"Hanoi, Vietnam"
2021-10-07,2022 World Cup qualification,Australia,3-1,Oman,"Doha, Qatar"
2021-10-12,2022 World Cup qualification,Japan,2-1,Australia,"Saitama, Japan"
2021-11-11,2022 World Cup qualification,Australia,0-0,Saudi Arabia,"Sydney, Australia"
2021-11-16,2022 World Cup qualification,China,1-1,Australia,"Sharjah, United Arab Emirates"
2022-01-27,2022 World Cup qualification,Australia,4-0,Vietnam,"Melbourne, Australia"
2022-02-01,2022 World Cup qualification,Oman,2-2,Australia,"Muscat, Oman"
2022-03-24,2022 World Cup qualification,Australia,0-2,Japan,"Sydney, Australia"
2022-03-29,2022 World Cup qualification,Saudi Arabia,1-0,Australia,"Jeddah, Saudi Arabia"
2022-06-01,International Friendly,Australia,2-1,Jordan,"Doha, Qatar"
2022-06-07,2022 World Cup qualification,United Arab Emirates,1-2,Australia,"Al Rayyan, Qatar"
2022-06-13,2022 World Cup qualification,Australia,0-0,Peru,"Al Rayyan, Qatar"
2022-09-22,International Friendly,Australia,1-0,New Zealand,"Brisbane, Australia"
2022-09-25,International Friendly,New Zealand,0-2,Australia,"Auckland, New Zealand"
2022-11-22,2022 FIFA World Cup Group D,France,4-1,Australia,"Al Wakrah, Qatar"
2022-11-26,2022 FIFA World Cup Group D,Tunisia,0-1,Australia,"Al Wakrah, Qatar"
2022-11-30,2022 FIFA World Cup Group D,Australia,1-0,Denmark,"Al Wakrah, Qatar"
2022-12-03,2022 FIFA World Cup Round of 16,Argentina,2-1,Australia,"Al Rayyan, Qatar"
2023-03-24,International Friendly,Australia,3-1,Ecuador,"Sydney, Australia"
2023-03-28,International Friendly,Australia,1-2,Ecuador,"Melbourne, Australia"
2023-06-15,International Friendly,Argentina,2-0,Australia,"Beijing, China"
2023-09-09,International Friendly,Mexico,2-2,Australia,"Arlington, United States"
2023-10-13,International Friendly,England,1-0,Australia,"London, United Kingdom"
2023-10-18,2023 Soccer Ashes series,Australia,2-0,New Zealand,"London, United Kingdom"
2023-11-16,2026 WCQ / 2027 ACQ,Australia,7-0,Bangladesh,"Melbourne, Australia"
2023-11-21,2026 World Cup Qualifiers Round 2,Palestine,0-1,Australia,"Kuwait City, Kuwait"
2024-01-06,Friendly,Bahrain,0-2,Australia,"Abu Dhabi, United Arab Emirates"
2024-01-13,2023 AFC Asian Cup,Australia,2-0,India,"Al Rayyan, Qatar"
2024-01-18,2023 AFC Asian Cup,Syria,0-1,Australia,"Al Rayyan, Qatar"
2024-01-23,2023 AFC Asian Cup,Australia,1-1,Uzbekistan,"Al Wakrah, Qatar"
2024-01-28,2023 AFC Asian Cup round of 16,Australia,4-0,Indonesia,"Al Rayyan, Qatar"
2024-02-02,2023 AFC Asian Cup quarter-finals,Australia,1-2,South Korea,"Al Wakrah, Qatar"
2024-03-21,2026 World Cup Qualifiers Round 2,Australia,2-0,Lebanon,"Sydney, Australia"
2024-03-26,2026 World Cup Qualifiers Round 2,Lebanon,0-5,Australia,"Canberra, Australia"
2024-06-06,2026 World Cup Qualifiers Round 2,Bangladesh,0-2,Australia,"Dhaka, Bangladesh"
2024-06-11,2026 World Cup Qualifiers Round 2,Australia,5-0,Palestine,"Perth, Australia"
2024-09-05,2026 World Cup Qualifiers Round 3,Australia,0-1,Bahrain,"Gold Coast, Australia"
2024-09-10,2026 World Cup Qualifiers Round 3,Indonesia,0-0,Australia,"Jakarta, Indonesia"
2024-10-10,2026 World Cup Qualifiers Round 3,Australia,3-1,China,"Adelaide, Australia"
2024-10-15,2026 World Cup Qualifiers Round 3,Japan,1-1,Australia,"Saitama, Japan"
2024-11-14,2026 World Cup Qualifiers Round 3,Australia,0-0,Saudi Arabia,"Melbourne, Australia"
2024-11-19,2026 World Cup Qualifiers Round 3,Bahrain,2-2,Australia,"Riffa, Bahrain"
2025-03-20,2026 World Cup Qualifiers Round 3,Australia,5-1,Indonesia,"Sydney, Australia"
2025-03-25,2026 World Cup Qualifiers Round 3,China,0-2,Australia,"Hangzhou, China"
2025-06-05,2026 World Cup Qualifiers Round 3,Australia,1-0,Japan,"Perth, Australia"
2025-06-10,2026 World Cup Qualifiers Round 3,Saudi Arabia,1-2,Australia,"Jeddah, Saudi Arabia"
2025-09-05,Soccer Ashes,Australia,1-0,New Zealand,"Canberra, Australia"
2025-09-09,Soccer Ashes,New Zealand,1-3,Australia,"Auckland, New Zealand"
2025-10-10,Friendly,Canada,0-1,Australia,"Montreal, Canada"
2025-10-14,Friendly,United States,2-1,Australia,"Denver, United States"
2025-11-14,Friendly,Venezuela,1-0,Australia,"Houston, United States"
2025-11-18,Friendly,Colombia,3-0,Australia,"New York City, United States"
2026-03-27,2026 FIFA Series,Australia,1-0,Cameroon,"Sydney, Australia"
2026-03-31,2026 FIFA Series,Australia,5-1,Curaçao,"Melbourne, Australia"
