date,competition,home_team,score,away_team,venue
2021-03-25,2022 World Cup qualification,Curaçao,5-0,Saint Vincent and the Grenadines,"Willemstad, Curaçao"
2021-03-28,2022 World Cup qualification,Cuba,1-2,Curaçao,"Guatemala City, Guatemala"
2021-06-05,2022 World Cup qualification,British Virgin Islands,0-8,Curaçao,"Guatemala City, Guatemala"
2021-06-08,2022 World Cup qualification,Curaçao,0-0,Guatemala,"Willemstad, Curaçao"
2021-06-12,2022 World Cup qualification,Panama,2-1,Curaçao,"Panama City, Panama"
2021-06-15,2022 World Cup qualification,Curaçao,0-0,Panama,"Willemstad, Curaçao"
2021-10-06,Friendly,Bahrain,4-0,Curaçao,"Riffa, Bahrain"
2021-10-09,Friendly,Curaçao,1-2,New Zealand,"Riffa, Bahrain"
2022-06-03,Nations League,Curaçao,0-1,Honduras,"Willemstad, Curaçao"
2022-06-06,Nations League,Honduras,1-2,Curaçao,"San Pedro Sula, Honduras"
2022-06-09,Nations League,Canada,4-0,Curaçao,"Vancouver, Canada"
2022-09-24,Friendly,Indonesia,3-2,Curaçao,"Bandung, Indonesia"
2022-09-27,Friendly,Curaçao,1-2,Indonesia,"Cibinong, Indonesia"
2022-11-24,2022 ABCS Tournament,Curaçao,2-2,Aruba,"Willemstad, Curaçao"
2022-11-26,2022 ABCS Tournament,Suriname,2-2,Curaçao,"Willemstad, Curaçao"
2023-03-25,Nations League,Curaçao,0-2,Canada,"Willemstad, Curaçao"
2023-03-28,Friendly,Argentina,7-0,Curaçao,"Santiago del Estero, Argentina"
2023-06-16,Gold Cup qualification,Curaçao,1-1,Saint Kitts and Nevis,"Fort Lauderdale, United States"
2024-06-05,2026 FIFA World Cup qualification,Curacao,4-1,Barbados,"Willemstad, Curaçao"
2024-06-08,2026 FIFA World Cup qualification,Aruba,0-2,Curacao,"Oranjestad, Aruba"
2024-09-06,2024–25 Nations League,Saint Lucia,2-1,Curaçao,"St. George's, Grenada"
2024-09-09,2024–25 Nations League,Curaçao,4-0,Saint Martin,"St. George's, Grenada"
2024-10-11,2024–25 Nations League,Grenada,0-0,Curaçao,"Gros Islet, Saint Lucia"
2024-10-14,2024–25 Nations League,Curaçao,1-0,Grenada,"Gros Islet, Saint Lucia"
2024-11-15,2024–25 Nations League,Saint Martin,0-5,Curaçao,"Willemstad, Curacao"
2024-11-18,2024–25 Nations League,Curaçao,4-1,Saint Lucia,"Willemstad, Curacao"
2025-03-19,Friendly,Curaçao,0-2,Kazakhstan,"Antalya, Turkey"
2025-06-06,2026 FIFA World Cup qualification,Curacao,4-0,Saint Lucia,"Willemstad, Curaçao"
2025-06-10,2026 FIFA World Cup qualification,Haiti,1-5,Curacao,"Oranjestad, Aruba"
2025-06-17,2025 CONCACAF Gold Cup,Curaçao,0-0,El Salvador,"San Jose, United States"
2025-06-21,2025 CONCACAF Gold Cup,Curaçao,1-1,Canada,"Houston, United States"
2025-06-24,2025 CONCACAF Gold Cup,Honduras,2-1,Curaçao,"San Jose, United States"
2025-09-05,2026 FIFA World Cup qualification,Trinidad and Tobago,0-0,Curacao,"Port of Spain, Trinidad and Tobago"
2025-09-09,2026 FIFA World Cup qualification,Curacao,3-2,Bermuda,"Willemstad, Curaçao"
2025-10-10,2026 FIFA World Cup qualification,Curacao,2-0,Jamaica,"Willemstad, Curaçao"
2025-10-14,2026 FIFA World Cup qualification,Curacao,1-1,Trinidad and Tobago,"Willemstad, Curaçao"
2025-11-13,2026 FIFA World Cup qualification,Bermuda,0-7,Curacao,"Hamilton, Bermuda"
2025-11-18,2026 FIFA World Cup qualification,Jamaica,0-0,Curacao,"Kingston, Jamaica"
2026-03-27,2026 FIFA Series,China,2-0,Curaçao,"Sydney, Australia"
