date,competition,home_team,score,away_team,venue
2020-10-08,2022 FIFA World Cup qualification,Argentina,1-0,Ecuador,"La Bombonera, Buenos Aires"
2020-10-13,2022 FIFA World Cup qualification,Ecuador,4-2,Uruguay,"Estadio Rodrigo Paz Delgado, Quito"
2020-11-12,2022 FIFA World Cup qualification,Bolivia,2-3,Ecuador,"Estadio Hernando Siles, La Paz"
2020-11-17,2022 FIFA World Cup qualification,Ecuador,6-1,Colombia,"Estadio Rodrigo Paz Delgado, Quito"
2021-03-29,Friendly,Ecuador,2-1,Bolivia,"Estadio Banco Guayaquil, Sangolquí"
2021-06-04,2022 FIFA World Cup qualification,Brazil,2-0,Ecuador,"Estádio Beira-Rio, Porto Alegre"
2021-06-08,2022 FIFA World Cup qualification,Ecuador,1-2,Peru,"Estadio Rodrigo Paz Delgado, Quito"
2021-06-13,2021 Copa América,Ecuador,0-1,Colombia,"Arena Pantanal, Cuiabá"
2021-06-20,2021 Copa América,Ecuador,2-2,Venezuela,"Estádio Olímpico Nilton Santos, Rio de Janeiro"
2021-06-23,2021 Copa América,Ecuador,2-2,Peru,"Estádio Olímpico Pedro Ludovico, Goiânia"
2021-06-27,2021 Copa América,Ecuador,1-1,Brazil,"Estádio Olímpico Pedro Ludovico, Goiânia"
2021-07-03,2021 Copa América,Ecuador,0-3,Argentina,"Estádio Olímpico Pedro Ludovico, Goiânia"
2021-09-02,2022 FIFA World Cup qualification,Ecuador,2-0,Paraguay,"Estadio Rodrigo Paz Delgado, Quito"
2021-09-05,2022 FIFA World Cup qualification,Ecuador,0-0,Chile,"Estadio Rodrigo Paz Delgado, Quito"
2021-09-09,2022 FIFA World Cup qualification,Uruguay,1-0,Ecuador,"Estadio Campeón del Siglo, Montevideo"
2021-10-07,2022 FIFA World Cup qualification,Ecuador,3-0,Bolivia,"Estadio Monumental, Guayaquil"
2021-10-10,2022 FIFA World Cup qualification,Venezuela,2-1,Ecuador,"Olympic Stadium, Caracas"
2021-10-14,2022 FIFA World Cup qualification,Colombia,0-0,Ecuador,"Estadio Metropolitano, Barranquilla"
2021-10-27,Friendly,Ecuador,3-2,Mexico,"Bank of America Stadium, Charlotte"
2021-11-11,2022 FIFA World Cup qualification,Ecuador,1-0,Venezuela,"Estadio Rodrigo Paz Delgado, Quito"
2021-11-16,2022 FIFA World Cup qualification,Chile,0-2,Ecuador,"Estadio San Carlos de Apoquindo, Santiago"
2021-12-04,Friendly,Ecuador,1-1,El Salvador,"PNC Stadium, Houston"
2022-01-27,2022 FIFA World Cup qualification,Ecuador,1-1,Brazil,"Estadio Rodrigo Paz Delgado, Quito"
2022-02-01,2022 FIFA World Cup qualification,Peru,1-1,Ecuador,"Estadio Nacional, Lima"
2022-03-24,2022 FIFA World Cup qualification,Paraguay,3-1,Ecuador,"Estadio Antonio Aranda, Ciudad del Este"
2022-03-29,2022 FIFA World Cup qualification,Ecuador,1-1,Argentina,"Estadio Monumental, Guayaquil"
2022-06-02,Friendly,Ecuador,1-0,Nigeria,"Red Bull Arena, Harrison"
2022-06-05,Friendly,Ecuador,0-0,Mexico,"Soldier Field, Chicago"
2022-06-11,Friendly,Ecuador,1-0,Cape Verde,"DRV PNK Stadium, Fort Lauderdale"
2022-09-23,Friendly,Ecuador,0-0,Saudi Arabia,"Estadio Nueva Condomina, Murcia"
2022-09-27,Friendly,Ecuador,0-0,Japan,"Merkur Spiel-Arena, Düsseldorf"
2022-11-12,Friendly,Ecuador,0-0,Iraq,"Metropolitano Stadium, Madrid"
2022-11-20,2022 FIFA World Cup,Ecuador,2-0,Qatar,"Al Bayt Stadium, Al Khor"
2022-11-25,2022 FIFA World Cup,Ecuador,1-1,Netherlands,"Khalifa International Stadium, Al Rayyan"
2022-11-29,2022 FIFA World Cup,Ecuador,1-2,Senegal,"Khalifa International Stadium, Al Rayyan"
2023-03-24,Friendly,Australia,3-1,Ecuador,"Western Sydney Stadium, Sydney"
2023-03-28,Friendly,Australia,1-2,Ecuador,"Docklands Stadium, Melbourne"
2023-06-17,Friendly,Ecuador,1-0,Bolivia,"Red Bull Arena, Harrison"
2023-06-20,Friendly,Ecuador,3-1,Costa Rica,"Subaru Park, Chester"
2023-09-07,2026 FIFA World Cup qualification,Argentina,1-0,Ecuador,"Estadio Monumental, Buenos Aires"
2023-09-12,2026 FIFA World Cup qualification,Ecuador,2-1,Uruguay,"Estadio Rodrigo Paz Delgado, Quito"
2023-10-12,2026 FIFA World Cup qualification,Bolivia,1-2,Ecuador,"Estadio Hernando Siles, La Paz"
2023-10-15,2026 FIFA World Cup qualification,Uruguay,0-0,Ecuador,"Estadio Centenario, Montevideo"
2023-10-17,2026 FIFA World Cup qualification,Ecuador,0-0,Colombia,"Estadio Rodrigo Paz Delgado, Quito"
2023-11-16,2026 FIFA World Cup qualification,Venezuela,0-0,Ecuador,"Estadio Monumental, Maturín"
2023-11-21,2026 FIFA World Cup qualification,Ecuador,1-0,Chile,"Estadio Rodrigo Paz Delgado, Quito"
2024-03-21,Friendly,Ecuador,2-0,Guatemala,"Red Bull Arena, Harrison"
2024-03-24,Friendly,Ecuador,0-2,Italy,"Red Bull Arena, Harrison"
2024-06-09,Friendly,Ecuador,0-1,Argentina,"Soldier Field, Chicago"
2024-06-12,Friendly,Ecuador,3-1,Bolivia,"Subaru Park, Chester"
2024-06-16,Friendly,Ecuador,2-1,Honduras,"Pratt & Whitney Stadium at Rentschler Field, East Hartford"
2024-06-22,2024 Copa América,Ecuador,1-2,Venezuela,"Levi's Stadium, Santa Clara"
2024-06-26,2024 Copa América,Ecuador,3-1,Jamaica,"Allegiant Stadium, Paradise"
2024-06-30,2024 Copa América,Ecuador,0-0,Mexico,"State Farm Stadium, Glendale"
2024-07-04,2024 Copa América,Argentina,1-1,Ecuador,"NRG Stadium, Houston"
2024-09-06,2026 FIFA World Cup qualification,Brazil,1-0,Ecuador,"Estádio Couto Pereira, Curitiba"
2024-09-10,2026 FIFA World Cup qualification,Ecuador,1-0,Peru,"Estadio Rodrigo Paz Delgado, Quito"
2024-10-10,2026 FIFA World Cup qualification,Ecuador,0-0,Paraguay,"Estadio Rodrigo Paz Delgado, Quito"
2024-11-14,2026 FIFA World Cup qualification,Ecuador,4-0,Bolivia,"Estadio Monumental Isidro Romero Carbo, Guayaquil"
2024-11-19,2026 FIFA World Cup qualification,Colombia,0-1,Ecuador,"Estadio Metropolitano, Barranquilla"
2025-03-21,2026 FIFA World Cup qualification,Ecuador,2-1,Venezuela,"Estadio Rodrigo Paz Delgado, Quito"
2025-03-25,2026 FIFA World Cup qualification,Chile,0-0,Ecuador,"Estadio Nacional Julio Martínez Prádanos, Santiago"
2025-06-05,2026 FIFA World Cup qualification,Ecuador,0-0,Brazil,"Estadio Monumental Isidro Romero Carbo, Guayaquil"
2025-06-10,2026 FIFA World Cup qualification,Peru,0-0,Ecuador,"Estadio Nacional, Lima"
2025-09-04,2026 FIFA World Cup qualification,Paraguay,0-0,Ecuador,"Estadio Defensores del Chaco, Asunción"
2025-09-09,2026 FIFA World Cup qualification,Ecuador,1-0,Argentina,"Estadio Monumental Isidro Romero Carbo, Guayaquil"
2025-10-10,Friendly,United States,1-1,Ecuador,"Q2 Stadium, Austin"
2025-10-14,Friendly,Mexico,1-1,Ecuador,"Estadio Akron, Zapopan"
2025-11-13,Friendly,Canada,0-0,Ecuador,"BMO Field, Toronto"
2025-11-18,Friendly,Ecuador,2-0,New Zealand,"Sports Illustrated Stadium, Harrison"
2026-03-27,Friendly,Ecuador,1-1,Morocco,"Metropolitano Stadium, Madrid"
2026-03-31,Friendly,Netherlands,1-1,Ecuador,"Philips Stadion, Eindhoven"
