date,competition,home_team,score,away_team,venue
2020-10-08,Friendly,Belgium,1-1,Ivory Coast,"Brussels, Belgium"
2020-10-13,Friendly,Japan,1-0,Ivory Coast,"Utrecht, Netherlands"
2020-11-12,2021 AFCONQ,Ivory Coast,2-1,Madagascar,"Abidjan, Ivory Coast"
2020-11-17,2021 AFCONQ,Madagascar,1-1,Ivory Coast,"Toamasina, Madagascar"
2021-03-26,2021 AFCONQ,Niger,0-3,Ivory Coast,"Niamey, Niger"
2021-03-30,2021 AFCONQ,Ivory Coast,3-1,Ethiopia,"Abidjan, Ivory Coast"
2021-06-05,Friendly,Ivory Coast,2-1,Burkina Faso,"Abidjan, Ivory Coast"
2021-06-12,Friendly,Ghana,0-0,Ivory Coast,"Cape Coast, Ghana"
2021-09-03,2022 World Cup qualification,Mozambique,0-0,Ivory Coast,"Maputo, Mozambique"
2021-09-06,2022 World Cup qualification,Ivory Coast,2-1,Cameroon,"Abidjan, Ivory Coast"
2021-10-08,2022 World Cup qualification,Malawi,0-3,Ivory Coast,"Johannesburg, South Africa"
2021-10-11,2022 World Cup qualification,Ivory Coast,2-1,Malawi,"Cotonou, Benin"
2021-11-13,2022 World Cup qualification,Ivory Coast,3-0,Mozambique,"Cotonou, Benin"
2021-11-16,2022 World Cup qualification,Cameroon,1-0,Ivory Coast,"Douala, Cameroon"
2022-01-12,2021 AFCON GS,Equatorial Guinea,0-1,Ivory Coast,"Douala, Cameroon"
2022-01-16,2021 AFCON GS,Ivory Coast,2-2,Sierra Leone,"Douala, Cameroon"
2022-01-20,2021 AFCON GS,Ivory Coast,3-1,Algeria,"Douala, Cameroon"
2022-01-26,2021 AFCON R16,Ivory Coast,0-0,Egypt,"Douala, Cameroon"
2022-03-25,Friendly,France,2-1,Ivory Coast,"Marseille, France"
2022-03-29,Friendly,England,3-0,Ivory Coast,"London, England"
2022-06-03,2023 AFCON Q,Ivory Coast,3-1,Zambia,"Yamoussoukro, Ivory Coast"
2022-06-09,2023 AFCON Q,Lesotho,0-0,Ivory Coast,"Johannesburg, South Africa"
2022-09-24,Friendly,Ivory Coast,2-1,Togo,"Le Petit-Quevilly, France"
2022-09-27,Friendly,Ivory Coast,3-1,Guinea,"Amiens, France"
2023-03-24,2023 AFCON qualification,Ivory Coast,3-1,Comoros,"Bouaké, Ivory Coast"
2023-03-28,2023 AFCON qualification,Comoros,0-2,Ivory Coast,"Moroni, Comoros"
2023-06-17,2023 AFCON qualification,Zambia,3-0,Ivory Coast,"Ndola, Zambia"
2023-09-09,2023 AFCON qualification,Ivory Coast,1-0,Lesotho,"San-Pédro, Ivory Coast"
2023-10-14,Friendly,Ivory Coast,1-1,Morocco,"Abidjan, Ivory Coast"
2023-10-17,Friendly,Ivory Coast,1-1,South Africa,"Abidjan, Ivory Coast"
2023-11-17,2026 FIFA World Cup qualification,Ivory Coast,9-0,Seychelles,"Abidjan, Ivory Coast"
2023-11-20,2026 FIFA World Cup qualification,Gambia,0-2,Ivory Coast,"Dar es Salaam, Tanzania"
2024-01-06,Friendly,Ivory Coast,5-1,Sierra Leone,"San Pedro, Ivory Coast"
2024-01-13,2023 AFCON,Ivory Coast,2-0,Guinea-Bissau,"Abidjan, Ivory Coast"
2024-01-18,2023 AFCON GS,Ivory Coast,0-1,Nigeria,"Abidjan, Ivory Coast"
2024-01-22,2023 AFCON,Equatorial Guinea,4-0,Ivory Coast,"Abidjan, Ivory Coast"
2024-01-29,2023 AFCON RO16,Senegal,1-1,Ivory Coast,"Yamoussoukro, Côte d'Ivoire"
2024-06-07,2026 FIFA WC Qualifier,Ivory Coast,1-0,Gabon,"Korhogo, Ivory Coast"
2024-06-10,2026 FIFA WC Qualifier,Kenya,0-0,Ivory Coast,"Lilongwe, Malawi"
2024-09-06,2025 AFCON Qualification,Ivory Coast,2-0,Zambia,"Bouaké, Ivory Coast"
2024-09-10,2025 AFCON Qualification,Chad,0-2,Ivory Coast,"Yaoundé, Cameroon"
2024-10-11,2025 AFCON Qualification,Ivory Coast,4-1,Sierra Leone,"San-Pédro, Ivory Coast"
2024-10-15,2025 AFCON Qualification,Sierra Leone,1-0,Ivory Coast,"Monrovia, Liberia"
2024-11-15,2025 AFCON Qualification,Zambia,1-0,Ivory Coast,"Ndola, Zambia"
2024-11-19,2025 AFCON Qualification,Ivory Coast,4-0,Chad,"Abidjan, Ivory Coast"
2024-12-22,2024 CHAN qualification,Ivory Coast,2-0,Burkina Faso,"Abidjan, Ivory Coast"
2024-12-28,2024 CHAN qualification,Burkina Faso,2-0,Ivory Coast,"Bamako, Mali"
2025-03-21,2026 FIFA WC Qualifier,Burundi,0-1,Ivory Coast,"Meknes, Morocco"
2025-03-25,2026 FIFA WC Qualifier,Ivory Coast,1-0,Gambia,"Abidjan, Ivory Coast"
2025-06-07,Canadian Shield,Ivory Coast,0-1,New Zealand,"Toronto, Canada"
2025-06-10,Canadian Shield,Canada,0-0,Ivory Coast,"Toronto, Canada"
2025-09-05,2026 FIFA WC Qualifier,Ivory Coast,1-0,Burundi,"Abidjan, Ivory Coast"
2025-09-09,2026 FIFA WC Qualifier,Gabon,0-0,Ivory Coast,"Franceville, Gabon"
2025-10-10,2026 FIFA WC Qualifier,Seychelles,0-7,Ivory Coast,"Saint Pierre, Mauritius"
2025-10-14,2026 FIFA WC Qualifier,Ivory Coast,3-0,Kenya,"Abidjan, Ivory Coast"
2025-11-14,Friendly,Saudi Arabia,1-0,Ivory Coast,"Jeddah, Saudi Arabia"
2025-11-18,Friendly,Oman,0-2,Ivory Coast,"Seeb, Oman"
2025-12-24,2025 AFCON GS,Ivory Coast,1-0,Mozambique,"Marrakesh, Morocco"
2025-12-28,2025 AFCON GS,Ivory Coast,1-1,Cameroon,"Marrakesh, Morocco"
2025-12-31,2025 AFCON GS,Gabon,2-3,Ivory Coast,"Marrakesh, Morocco"
2026-01-06,2025 AFCON R16,Ivory Coast,3-0,Burkina Faso,"Marrakesh, Morocco"
2026-01-10,2025 AFCON Quarter-finals,Egypt,3-2,Ivory Coast,"Agadir, Morocco"
