date,competition,home_team,score,away_team,venue
2020-10-09,Friendly,Japan,0-0,Cameroon,"Utrecht, Netherlands"
2020-10-13,Friendly,Japan,1-0,Ivory Coast,"Utrecht, Netherlands"
2020-11-13,Friendly,Japan,1-0,Panama,"Graz, Austria"
2020-11-17,Friendly,Japan,0-2,Mexico,"Graz, Austria"
2021-03-25,Friendly,Japan,3-0,South Korea,"Yokohama, Japan"
2021-03-30,2022 World Cup qualification,Mongolia,0-14,Japan,"Chiba, Japan"
2021-05-28,2022 World Cup qualification,Japan,10-0,Myanmar,"Chiba, Japan"
2021-06-07,2022 World Cup qualification,Japan,4-1,Tajikistan,"Suita, Japan"
2021-06-11,Kirin Challenge Cup,Japan,1-0,Serbia,"Kobe, Japan"
2021-06-15,2022 World Cup qualification,Japan,5-1,Kyrgyzstan,"Suita, Japan"
2021-09-02,2022 World Cup qualification,Japan,0-1,Oman,"Suita, Japan"
2021-09-07,2022 World Cup qualification,China,0-1,Japan,"Doha, Qatar"
2021-10-07,2022 World Cup qualification,Saudi Arabia,1-0,Japan,"Jeddah, Saudi Arabia"
2021-10-12,2022 World Cup qualification,Japan,2-1,Australia,"Saitama, Japan"
2021-11-11,2022 World Cup qualification,Vietnam,0-1,Japan,"Hanoi, Vietnam"
2021-11-16,2022 World Cup qualification,Oman,0-1,Japan,"Muscat, Oman"
2022-01-27,2022 World Cup qualification,Japan,2-0,China,"Saitama, Japan"
2022-02-01,2022 World Cup qualification,Japan,2-0,Saudi Arabia,"Saitama, Japan"
2022-03-24,2022 World Cup qualification,Australia,0-2,Japan,"Sydney, Australia"
2022-03-29,2022 World Cup qualification,Japan,1-1,Vietnam,"Saitama, Japan"
2022-06-02,Kirin Challenge Cup,Japan,4-1,Paraguay,"Sapporo, Japan"
2022-06-06,Kirin Challenge Cup,Japan,0-1,Brazil,"Tokyo, Japan"
2022-06-10,2022 Kirin Cup Soccer,Japan,4-1,Ghana,"Kobe, Japan"
2022-06-14,2022 Kirin Cup Soccer,Japan,0-3,Tunisia,"Osaka, Japan"
2022-07-19,EAFF E-1 Football Championship,Japan,6-0,Hong Kong,"Ibaraki, Japan"
2022-07-24,EAFF E-1 Football Championship,Japan,0-0,China,"Toyota, Japan"
2022-07-27,EAFF E-1 Football Championship,Japan,3-0,South Korea,"Toyota, Japan"
2022-09-23,2022 Kirin Challenge Cup,Japan,2-0,United States,"Düsseldorf, Germany"
2022-09-27,2022 Kirin Challenge Cup,Japan,0-0,Ecuador,"Düsseldorf, Germany"
2022-11-17,Friendly,Canada,2-1,Japan,"Dubai, United Arab Emirates"
2022-11-23,2022 World Cup,Germany,1-2,Japan,"Doha, Qatar"
2022-11-27,2022 World Cup,Japan,0-1,Costa Rica,"Al Rayyan, Qatar"
2022-12-01,2022 World Cup,Japan,2-1,Spain,"Doha, Qatar"
2022-12-05,2022 World Cup R16,Japan,1-1,Croatia,"Al Wakrah, Qatar"
2023-03-24,2023 Kirin Challenge Cup,Japan,1-1,Uruguay,"Tokyo, Japan"
2023-03-28,2023 Kirin Challenge Cup,Japan,1-2,Colombia,"Osaka, Japan"
2023-06-15,2023 Kirin Challenge Cup,Japan,6-0,El Salvador,"Toyota, Japan"
2023-06-20,2023 Kirin Challenge Cup,Japan,4-1,Peru,"Suita, Japan"
2023-09-09,Friendly,Germany,1-4,Japan,"Wolfsburg, Germany"
2023-09-12,Friendly,Japan,4-2,Turkey,"Genk, Belgium"
2023-10-13,2023 Mizuho Blue Dream Match,Japan,4-1,Canada,"Niigata, Japan"
2023-10-17,2023 Kirin Challenge Cup,Japan,2-0,Tunisia,"Kobe, Japan"
2023-11-16,2026 FIFA WCQ AFC 2R,Japan,5-0,Myanmar,"Suita, Japan"
2023-11-21,2026 FIFA WCQ AFC 2R,Syria,0-5,Japan,"Jeddah, Saudi Arabia"
2024-01-01,Friendly,Japan,5-0,Thailand,"Tokyo, Japan"
2024-01-09,Friendly,Japan,6-1,Jordan,"Doha, Qatar"
2024-01-19,2023 Asian Cup GS,Iraq,2-1,Japan,"Al Rayyan, Qatar"
2024-01-31,2023 AFC Asian Cup R16,Bahrain,1-3,Japan,"Doha, Qatar"
2024-02-03,2023 AFC Asian Cup QF,Iran,2-1,Japan,"Al Rayyan, Qatar"
2024-03-21,2026 World Cup qualification,Japan,1-0,North Korea,"Tokyo, Japan"
2024-03-26,2026 World Cup qualification,North Korea,0-3,Japan,
2024-06-06,2026 World Cup qualification,Myanmar,0-5,Japan,"Yangon, Myanmar"
2024-09-05,2026 World Cup qualification 3R,Japan,7-0,China,"Saitama, Japan"
2024-09-10,2026 World Cup qualification 3R,Bahrain,0-5,Japan,"Riffa, Bahrain"
2024-10-10,2026 World Cup qualification 3R,Saudi Arabia,0-2,Japan,"Jeddah, Saudi Arabia"
2024-10-15,2026 World Cup qualification 3R,Japan,1-1,Australia,"Saitama, Japan"
2024-11-15,2026 World Cup qualification 3R,Indonesia,0-4,Japan,"Jakarta, Indonesia"
2024-11-19,2026 World Cup qualification 3R,China,1-3,Japan,"Xiamen, China"
2025-03-20,FIFA World Cup qualification 3R,Japan,2-0,Bahrain,"Saitama, Japan"
2025-03-25,FIFA World Cup qualification 3R,Japan,0-0,Saudi Arabia,"Saitama, Japan"
2025-06-05,FIFA World Cup qualification 3R,Australia,1-0,Japan,"Perth, Australia"
2025-06-10,FIFA World Cup qualification 3R,Japan,6-0,Indonesia,"Suita, Japan"
2025-07-08,EAFF E-1 Championship,Japan,6-1,Hong Kong,"Yongin, South Korea"
2025-07-12,EAFF E-1 Championship,Japan,2-0,China,"Yongin, South Korea"
2025-07-15,EAFF E-1 Championship,South Korea,0-1,Japan,"Yongin, South Korea"
2025-09-06,Friendly,Mexico,0-0,Japan,"Oakland, United States"
2025-09-09,Friendly,United States,2-0,Japan,"Columbus, United States"
2025-10-10,Kirin Challenge Cup,Japan,2-2,Paraguay,"Suita, Japan"
2025-10-14,Kirin Challenge Cup,Japan,3-2,Brazil,"Chōfu, Japan"
2025-11-14,Kirin Challenge Cup,Japan,2-0,Ghana,"Toyota, Japan"
2025-11-18,Kirin Challenge Cup,Japan,3-0,Bolivia,"Tokyo, Japan"
2026-03-28,Kirin World Challenge 2026,Scotland,0-1,Japan,"Glasgow, Scotland"
2026-03-31,Kirin World Challenge 2026,England,0-1,Japan,"London, England"
