date,competition,home_team,score,away_team,venue
2020-10-09,Friendly,Tunisia,3-0,Sudan,"Tunis, Tunisia"
2020-10-13,Friendly,Nigeria,1-1,Tunisia,"Sankt Veit an der Glan, Austria"
2020-11-13,2021 AFCON qualification,Tunisia,1-0,Tanzania,"Tunis, Tunisia"
2020-11-17,2021 AFCON qualification,Tanzania,1-1,Tunisia,"Dar es Salaam, Tanzania"
2021-03-25,2021 AFCON qualification,Libya,2-5,Tunisia,"Benghazi, Libya"
2021-03-28,2021 AFCON qualification,Tunisia,2-1,Equatorial Guinea,"Tunis, Tunisia"
2021-06-05,Friendly,Tunisia,1-0,DR Congo,"Tunis, Tunisia"
2021-06-11,Friendly,Tunisia,0-2,Algeria,"Tunis, Tunisia"
2021-06-15,Friendly,Tunisia,1-0,Mali,"Tunis, Tunisia"
2021-09-03,2022 World Cup qualification,Tunisia,3-0,Equatorial Guinea,"Tunis, Tunisia"
2021-09-07,2022 World Cup qualification,Zambia,0-2,Tunisia,"Ndola, Zambia"
2021-10-07,2022 World Cup qualification,Tunisia,3-0,Mauritania,"Tunis, Tunisia"
2021-10-10,2022 World Cup qualification,Mauritania,0-0,Tunisia,"Nouakchott, Mauritania"
2021-11-13,2022 World Cup qualification,Equatorial Guinea,1-0,Tunisia,"Malabo, Equatorial Guinea"
2021-11-16,2022 World Cup qualification,Tunisia,3-1,Zambia,"Tunis, Tunisia"
2021-11-30,2021 FIFA Arab Cup GS,Tunisia,5-1,Mauritania,"Al Rayyan, Qatar"
2021-12-03,2021 FIFA Arab Cup GS,Syria,2-0,Tunisia,"Al Khor, Qatar"
2021-12-06,2021 FIFA Arab Cup GS,Tunisia,1-0,United Arab Emirates,"Doha, Qatar"
2021-12-10,2021 FIFA Arab Cup QF,Tunisia,2-1,Oman,"Al Rayyan, Qatar"
2021-12-15,2021 FIFA Arab Cup SF,Tunisia,1-0,Egypt,"Doha, Qatar"
2021-12-18,2021 FIFA Arab Cup F,Tunisia,0-2,Algeria,"Al Khor, Qatar"
2022-01-12,2021 AFCON GS,Tunisia,0-1,Mali,"Limbe, Cameroon"
2022-01-16,2021 AFCON GS,Tunisia,4-0,Mauritania,"Limbe, Cameroon"
2022-01-20,2021 AFCON GS,Gambia,1-0,Tunisia,"Limbe, Cameroon"
2022-01-23,2021 AFCON R16,Nigeria,0-1,Tunisia,"Garoua, Cameroon"
2022-01-29,2021 AFCON QF,Burkina Faso,1-0,Tunisia,"Garoua, Cameroon"
2022-03-25,2022 FIFA World Cup qualification,Mali,0-1,Tunisia,"Bamako, Mali"
2022-03-29,2022 FIFA World Cup qualification,Tunisia,0-0,Mali,"Tunis, Tunisia"
2022-06-02,2023 AFCON qualification,Tunisia,4-0,Equatorial Guinea,"Tunis, Tunisia"
2022-06-05,2023 AFCON qualification,Botswana,0-0,Tunisia,"Francistown, Botswana"
2022-06-10,2022 Kirin Cup Soccer SF,Chile,0-2,Tunisia,"Kobe, Japan"
2022-06-14,2022 Kirin Cup Soccer F,Japan,0-3,Tunisia,"Osaka, Japan"
2022-09-27,Friendly,Brazil,5-1,Tunisia,"Paris, France"
2022-11-16,Friendly,Iran,0-2,Tunisia,"Doha, Qatar"
2022-11-22,2022 FIFA World Cup GS,Denmark,0-0,Tunisia,"Al Rayyan, Qatar"
2022-11-26,2022 FIFA World Cup GS,Tunisia,0-1,Australia,"Al Wakrah, Qatar"
2022-11-30,2022 FIFA World Cup GS,Tunisia,1-0,France,"Al Rayyan, Qatar"
2023-03-24,2023 AFCON qualification,Tunisia,3-0,Libya,"Tunis, Tunisia"
2023-03-28,2023 AFCON qualification,Libya,0-1,Tunisia,"Benghazi, Libya"
2023-06-17,2023 AFCON qualification,Equatorial Guinea,1-0,Tunisia,"Malabo, Equatorial Guinea"
2023-06-20,Friendly,Algeria,1-1,Tunisia,"Annaba, Algeria"
2023-09-07,2023 AFCON qualification,Tunisia,3-0,Botswana,"Tunis, Tunisia"
2023-09-12,Friendly,Egypt,1-3,Tunisia,"Cairo, Egypt"
2023-10-13,Friendly,South Korea,4-0,Tunisia,"Seoul, South Korea"
2023-10-17,Friendly,Japan,2-0,Tunisia,"Kobe, Japan"
2023-11-17,2026 FIFA World Cup qualification,Tunisia,4-0,Sao Tome and Principe,"Tunis, Tunisia"
2023-11-21,2026 FIFA World Cup qualification,Malawi,0-1,Tunisia,"Lilongwe, Malawi"
2024-01-06,Friendly,Tunisia,0-0,Mauritania,"Tunis, Tunisia"
2024-01-10,Friendly,Tunisia,2-0,Cape Verde,"Tunis, Tunisia"
2024-01-16,2023 AFCON GS,Tunisia,0-1,Namibia,"Korhogo, Ivory Coast"
2024-01-20,2023 AFCON GS,Tunisia,1-1,Mali,"Korhogo, Ivory Coast"
2024-01-24,2023 AFCON GS,South Africa,0-0,Tunisia,"Korhogo, Ivory Coast"
2024-03-23,2024 FIFA Series SF,Tunisia,0-0,Croatia,"Cairo, Egypt"
2024-03-26,2024 FIFA Series 3rd,New Zealand,0-0,Tunisia,"Cairo, Egypt"
2024-06-05,2026 FIFA World Cup qualification,Tunisia,1-0,Equatorial Guinea,"Tunis, Tunisia"
2024-06-09,2026 FIFA World Cup qualification,Namibia,0-0,Tunisia,"Johannesburg, South Africa"
2024-09-05,2025 AFCON qualification,Tunisia,1-0,Madagascar,"Tunis, Tunisia"
2024-09-08,2025 AFCON qualification,Gambia,1-2,Tunisia,"El Jadida, Morocco"
2024-10-11,2025 AFCON qualification,Tunisia,0-1,Comoros,"Tunis, Tunisia"
2024-10-15,2025 AFCON qualification,Comoros,1-1,Tunisia,"Abidjan, Ivory Coast"
2024-11-14,2025 AFCON qualification,Madagascar,2-3,Tunisia,"Pretoria, South Africa"
2024-11-18,2025 AFCON qualification,Tunisia,0-1,Gambia,"Tunis, Tunisia"
2025-03-19,2026 FIFA World Cup qualification,Liberia,0-1,Tunisia,"Paynesville, Liberia"
2025-03-24,2026 FIFA World Cup qualification,Tunisia,2-0,Malawi,"Tunis, Tunisia"
2025-06-02,Friendly,Tunisia,2-0,Burkina Faso,"Tunis, Tunisia"
2025-06-06,Friendly,Morocco,2-0,Tunisia,"Fez, Morocco"
2025-09-04,2026 FIFA World Cup qualification,Tunisia,3-0,Liberia,"Tunis, Tunisia"
2025-09-08,2026 FIFA World Cup qualification,Equatorial Guinea,0-1,Tunisia,"Malabo, Equatorial Guinea"
2025-10-10,2026 FIFA World Cup qualification,Sao Tome and Principe,0-6,Tunisia,"Tunis, Tunisia"
2025-10-13,2026 FIFA World Cup qualification,Tunisia,3-0,Namibia,"Tunis, Tunisia"
2025-11-12,Friendly,Tunisia,1-1,Mauritania,"Tunis, Tunisia"
2025-11-14,Friendly,Tunisia,3-2,Jordan,"Tunis, Tunisia"
2025-11-18,Friendly,Brazil,1-1,Tunisia,"Lille, France"
2025-12-01,2025 FIFA Arab Cup GS,Tunisia,0-1,Syria,"Al Rayyan, Qatar"
2025-12-04,2025 FIFA Arab Cup GS,Palestine,2-2,Tunisia,"Lusail, Qatar"
2025-12-07,2025 FIFA Arab Cup GS,Qatar,0-3,Tunisia,"Al Khor, Qatar"
2025-12-18,Friendly,Tunisia,2-1,Botswana,"Tabarka, Tunisia"
2025-12-23,2025 AFCON GS,Tunisia,3-1,Uganda,"Rabat, Morocco"
2025-12-27,2025 AFCON GS,Nigeria,3-2,Tunisia,"Fez, Morocco"
2025-12-30,2025 AFCON GS,Tanzania,1-1,Tunisia,"Rabat, Morocco"
2026-01-03,2025 AFCON R16,Mali,1-1,Tunisia,"Casablanca, Morocco"
2026-03-28,Friendly,Haiti,0-1,Tunisia,"Toronto, Canada"
2026-03-31,Friendly,Canada,0-0,Tunisia,"Toronto, Canada"
