date,competition,home_team,score,away_team,venue
2020-11-14,2021 Africa Cup of Nations qualification,Egypt,1-0,Togo,"Cairo, Egypt"
2020-11-17,2021 Africa Cup of Nations qualification,Togo,1-3,Egypt,"Lomé, Togo"
2021-03-25,2021 Africa Cup of Nations qualification,Kenya,1-1,Egypt,"Nairobi, Kenya"
2021-03-29,2021 Africa Cup of Nations qualification,Egypt,4-0,Comoros,"Cairo, Egypt"
2021-09-01,2022 FIFA World Cup qualification,Egypt,1-0,Angola,"Cairo, Egypt"
2021-09-05,2022 FIFA World Cup qualification,Gabon,1-1,Egypt,"Franceville, Gabon"
2021-09-30,Friendly,Egypt,2-0,Liberia,"Alexandria, Egypt"
2021-10-08,2022 FIFA World Cup qualification,Egypt,1-0,Libya,"Alexandria, Egypt"
2021-10-11,2022 FIFA World Cup qualification,Libya,0-3,Egypt,"Benghazi, Libya"
2021-11-12,2022 FIFA World Cup qualification,Angola,2-2,Egypt,"Luanda, Angola"
2021-11-16,2022 FIFA World Cup qualification,Egypt,2-1,Gabon,"Alexandria, Egypt"
2021-12-01,2021 FIFA Arab Cup Group D,Egypt,1-0,Lebanon,"Doha, Qatar"
2021-12-04,2021 FIFA Arab Cup Group D,Sudan,0-5,Egypt,"Doha, Qatar"
2021-12-07,2021 FIFA Arab Cup Group D,Algeria,1-1,Egypt,"Al Wakrah, Qatar"
2021-12-11,2021 FIFA Arab Cup Quarter-finals,Egypt,3-1,Jordan,"Al Wakrah, Qatar"
2021-12-15,2021 FIFA Arab Cup Semi-finals,Tunisia,1-0,Egypt,"Doha, Qatar"
2021-12-18,2021 FIFA Arab Cup Third place play-off,Egypt,0-0,Qatar,"Doha, Qatar"
2022-01-11,2021 Africa Cup of Nations Group D,Nigeria,1-0,Egypt,"Garoua, Cameroon"
2022-01-15,2021 Africa Cup of Nations Group D,Guinea-Bissau,0-1,Egypt,"Garoua, Cameroon"
2022-01-19,2021 Africa Cup of Nations Group D,Egypt,1-0,Sudan,"Yaoundé, Cameroon"
2022-01-26,2021 Africa Cup of Nations Round of 16,Ivory Coast,0-0,Egypt,"Douala, Cameroon"
2022-01-30,2021 Africa Cup of Nations Quarter-finals,Egypt,2-1,Morocco,"Yaoundé, Cameroon"
2022-02-03,2021 Africa Cup of Nations Semi-finals,Cameroon,0-0,Egypt,"Yaoundé, Cameroon"
2022-02-06,2021 Africa Cup of Nations Final,Senegal,0-0,Egypt,"Yaoundé, Cameroon"
2022-03-25,2022 FIFA World Cup qualification,Egypt,1-0,Senegal,"Cairo, Egypt"
2022-03-29,2022 FIFA World Cup qualification,Senegal,1-0,Egypt,"Dakar, Senegal"
2022-06-05,2023 Africa Cup of Nations qualification,Egypt,1-0,Guinea,"Cairo, Egypt"
2022-06-09,2023 Africa Cup of Nations qualification,Ethiopia,2-0,Egypt,"Lilongwe, Malawi"
2022-06-14,Friendly,South Korea,4-1,Egypt,"Seoul, South Korea"
2022-09-23,Friendly,Egypt,3-0,Niger,"Alexandria, Egypt"
2022-09-27,Friendly,Egypt,3-0,Liberia,"Alexandria, Egypt"
2022-11-18,Friendly,Belgium,1-2,Egypt,"Kuwait City, Kuwait"
2023-03-24,2023 Africa Cup of Nations qualification,Egypt,2-0,Malawi,"Cairo, Egypt"
2023-03-28,2023 Africa Cup of Nations qualification,Malawi,0-4,Egypt,"Lilongwe, Malawi"
2023-06-14,2023 Africa Cup of Nations qualification,Guinea,1-2,Egypt,"Marrakesh, Morocco"
2023-06-18,Friendly,Egypt,3-0,South Sudan,"Cairo, Egypt"
2023-09-08,2023 Africa Cup of Nations qualification,Egypt,1-0,Ethiopia,"Cairo, Egypt"
2023-09-12,Friendly,Egypt,1-3,Tunisia,"Cairo, Egypt"
2023-10-12,Friendly,Egypt,1-0,Zambia,"Al Ain, United Arab Emirates"
2023-10-16,Friendly,Egypt,1-1,Algeria,"Al Ain, United Arab Emirates"
2023-11-16,2026 FIFA World Cup qualification,Egypt,6-0,Djibouti,"Cairo, Egypt"
2023-11-19,2026 FIFA World Cup qualification,Sierra Leone,0-2,Egypt,"Paynesville, Liberia"
2024-01-07,Friendly,Egypt,2-0,Tanzania,"Cairo, Egypt"
2024-01-14,2023 Africa Cup of Nations Group B,Egypt,2-2,Mozambique,"Abidjan, Ivory Coast"
2024-01-18,2023 Africa Cup of Nations Group B,Egypt,2-2,Ghana,"Abidjan, Ivory Coast"
2024-01-22,2023 Africa Cup of Nations Group B,Cape Verde,2-2,Egypt,"Abidjan, Ivory Coast"
2024-01-28,2023 Africa Cup of Nations Round of 16,Egypt,1-1,DR Congo,"San Pédro, Ivory Coast"
