date,competition,home_team,score,away_team,venue
2020-10-08,Friendly,Uzbekistan,1-2,Iran,"Pakhtakor Central Stadium, Tashkent"
2020-11-12,Friendly,Bosnia and Herzegovina,0-2,Iran,"Koševo City Stadium, Sarajevo"
2021-03-30,Friendly,Iran,3-0,Syria,"Azadi Stadium, Tehran"
2021-06-03,2022 FIFA World Cup qualifier – Second round,Iran,3-1,Hong Kong,"Al-Muharraq Stadium, Arad"
2021-06-07,2022 FIFA World Cup qualifier – Second round,Iran,3-0,Bahrain,"National Stadium, Riffa"
2021-06-11,2022 FIFA World Cup qualifier – Second round,Cambodia,0-10,Iran,"National Stadium, Riffa"
2021-06-15,2022 FIFA World Cup qualifier – Second round,Iran,1-0,Iraq,"Al-Muharraq Stadium, Arad"
2021-09-02,2022 FIFA World Cup qualifier – Third round,Iran,1-0,Syria,"Azadi Stadium, Tehran"
2021-09-07,2022 FIFA World Cup qualifier – Third round,Iraq,0-3,Iran,"Khalifa International Stadium, Doha"
2021-10-07,2022 FIFA World Cup qualifier – Third round,United Arab Emirates,0-1,Iran,"Zabeel Stadium, Dubai"
2021-10-12,2022 FIFA World Cup qualifier – Third round,Iran,1-1,South Korea,"Azadi Stadium, Tehran"
2021-11-11,2022 FIFA World Cup qualifier – Third round,Lebanon,1-2,Iran,"Saida Municipal Stadium, Sidon"
2021-11-16,2022 FIFA World Cup qualifier – Third round,Syria,0-3,Iran,"King Abdullah II Stadium, Amman"
2022-01-27,2022 FIFA World Cup qualifier – Third round,Iran,1-0,Iraq,"Azadi Stadium, Tehran"
2022-02-01,2022 FIFA World Cup qualifier – Third round,Iran,1-0,United Arab Emirates,"Azadi Stadium, Tehran"
2022-03-24,2022 FIFA World Cup qualifier – Third round,South Korea,2-0,Iran,"World Cup Stadium, Seoul"
2022-03-29,2022 FIFA World Cup qualifier – Third round,Iran,2-0,Lebanon,"Imam Reza Stadium, Mashhad"
2022-06-12,Friendly,Iran,1-2,Algeria,"Jassim bin Hamad Stadium, Doha"
2022-09-23,Friendly,Iran,1-0,Uruguay,"NV Arena, Sankt Pölten"
2022-09-27,Friendly,Iran,1-1,Senegal,"Motion invest Arena, Maria Enzersdorf"
2022-11-10,Friendly,Iran,1-0,Nicaragua,"Azadi Stadium, Tehran"
2022-11-21,2022 FIFA World Cup – Preliminary round,England,6-2,Iran,"Khalifa International Stadium, Al-Rayyan"
2022-11-25,2022 FIFA World Cup – Preliminary round,Wales,0-2,Iran,"Ahmad bin Ali Stadium, Al-Rayyan"
2022-11-29,2022 FIFA World Cup – Preliminary round,Iran,0-1,United States,"Al-Thumama Stadium, Doha"
2023-03-23,Friendly,Iran,1-1,Russia,"Azadi Stadium, Tehran"
2023-03-28,Friendly,Iran,2-1,Kenya,"Azadi Stadium, Tehran"
2023-06-13,2023 CAFA Nations Cup – Preliminary round,Iran,6-1,Afghanistan,"Dolen Omurzakov Stadium, Bishkek"
2023-06-16,2023 CAFA Nations Cup – Preliminary round,Kyrgyzstan,1-5,Iran,"Dolen Omurzakov Stadium, Bishkek"
2023-06-20,2023 CAFA Nations Cup – Final,Uzbekistan,0-1,Iran,"Milliy Stadium, Tashkent"
2023-09-07,Friendly,Bulgaria,0-1,Iran,"Stadion Hristo Botev, Plovdiv"
2023-09-12,Friendly,Iran,4-0,Angola,"Azadi Stadium, Tehran"
2023-10-13,2023 Jordan International Tournament – Semifinal,Jordan,1-3,Iran,"Amman International Stadium, Amman"
2023-10-17,2023 Jordan International Tournament – Final,Iran,4-0,Qatar,"Amman International Stadium, Amman"
2023-11-16,2026 FIFA World Cup qualifier – Second round,Iran,4-0,Hong Kong,"Azadi Stadium, Tehran"
