date,competition,home_team,score,away_team,venue
2021-10-09,Friendly,New Zealand,2-1,Curaçao,"Bahrain National Stadium, Manama"
2021-10-12,Friendly,Bahrain,0-1,New Zealand,"Bahrain National Stadium, Manama"
2021-11-17,Friendly,New Zealand,2-0,Gambia,"Zayed Sports City Stadium, Abu Dhabi"
2022-01-28,Friendly,New Zealand,1-3,Jordan,"New York University Stadium, Abu Dhabi"
2022-03-18,2022 FIFA World Cup qualification,New Zealand,1-0,Papua New Guinea,"Qatar SC Stadium, Doha"
2022-03-21,2022 FIFA World Cup qualification,New Zealand,4-0,Fiji,"Qatar SC Stadium, Doha"
2022-03-24,2022 FIFA World Cup qualification,New Zealand,7-1,New Caledonia,"Qatar SC Stadium, Doha"
2022-03-27,2022 FIFA World Cup qualification,New Zealand,1-0,Tahiti,"Al-Arabi Stadium, Doha"
2022-03-30,2022 FIFA World Cup qualification,New Zealand,5-0,Solomon Islands,"Al-Arabi Stadium, Doha"
2022-06-05,Friendly,New Zealand,0-1,Peru,"RCDE Stadium, Barcelona"
2022-06-09,Friendly,New Zealand,0-0,Oman,"Education City Stadium, Al Rayyan"
2022-06-14,2022 FIFA World Cup qualification,New Zealand,0-1,Costa Rica,"Ahmad bin Ali Stadium, Al Rayyan"
2022-09-22,Friendly,Australia,1-0,New Zealand,"Lang Park, Brisbane"
2022-09-25,Friendly,New Zealand,0-2,Australia,"Eden Park, Auckland"
2023-03-23,Friendly,New Zealand,0-0,China,"Mount Smart Stadium, Auckland"
2023-03-26,Friendly,New Zealand,2-1,China,"Wellington Regional Stadium, Wellington"
2023-06-16,Friendly,Sweden,4-1,New Zealand,"Friends Arena, Solna"
2023-06-19,Friendly,New Zealand,1-0,Qatar,"Sonnensee Stadium, Ritzing"
2023-10-13,Friendly,New Zealand,1-1,DR Congo,"Estadio Nueva Condomina, Murcia"
2023-10-17,Soccer Ashes,New Zealand,0-2,Australia,"Brentford Community Stadium, London"
2023-11-17,Friendly,Greece,2-0,New Zealand,"Georgios Kamaras Stadium, Athens"
2023-11-21,Friendly,Republic of Ireland,1-1,New Zealand,"Aviva Stadium, Dublin"
2024-03-22,2024 FIFA Series,Egypt,1-0,New Zealand,"New Administrative Capital Stadium, New Administrative Capital"
2024-03-26,2024 FIFA Series,New Zealand,0-0,Tunisia,"Cairo International Stadium, Cairo"
2024-06-18,2024 OFC Men's Nations Cup,New Zealand,3-0,Solomon Islands,"VFF Freshwater Stadium, Port Vila"
2024-06-21,2024 OFC Men's Nations Cup,New Zealand,4-0,Vanuatu,"VFF Freshwater Stadium, Port Vila"
2024-06-26,2024 OFC Men's Nations Cup,New Zealand,5-0,Tahiti,"VFF Freshwater Stadium, Port Vila"
2024-06-30,2024 OFC Men's Nations Cup,New Zealand,3-0,Vanuatu,"VFF Freshwater Stadium, Port Vila"
2024-09-07,Friendly,New Zealand,0-3,Mexico,"Rose Bowl, Pasadena"
2024-09-10,Friendly,United States,1-1,New Zealand,"TQL Stadium, Cincinnati"
2024-10-11,2026 FIFA World Cup qualification,New Zealand,3-0,Tahiti,"VFF Freshwater Stadium, Port Vila"
2024-10-14,Friendly,New Zealand,4-0,Malaysia,"North Harbour Stadium, Auckland"
2024-11-15,2026 FIFA World Cup qualification,New Zealand,8-1,Vanuatu,"Waikato Stadium, Hamilton"
2024-11-18,2026 FIFA World Cup qualification,New Zealand,8-0,Samoa,"Mount Smart Stadium, Auckland"
2025-03-21,2026 FIFA World Cup qualification,New Zealand,7-0,Fiji,"Wellington Regional Stadium, Wellington"
2025-03-24,2026 FIFA World Cup qualification,New Zealand,3-0,New Caledonia,"Eden Park, Auckland"
2025-06-07,2025 Canadian Shield,New Zealand,1-0,Ivory Coast,"BMO Field, Toronto"
2025-06-10,2025 Canadian Shield,New Zealand,1-2,Ukraine,"BMO Field, Toronto"
2025-09-05,Soccer Ashes,Australia,1-0,New Zealand,"GIO Stadium, Canberra"
2025-09-09,Soccer Ashes,New Zealand,1-3,Australia,"Mount Smart Stadium, Auckland"
2025-10-09,Friendly,Poland,1-0,New Zealand,"Stadion Śląski, Chorzów"
2025-10-14,Friendly,Norway,1-1,New Zealand,"Ullevaal Stadion, Oslo"
2025-11-15,Friendly,New Zealand,1-2,Colombia,"Chase Stadium, Fort Lauderdale"
2025-11-18,Friendly,New Zealand,0-2,Ecuador,"Sports Illustrated Stadium, Harrison"
2026-03-27,2026 FIFA Series,New Zealand,0-2,Finland,"Eden Park, Auckland"
2026-03-30,2026 FIFA Series,New Zealand,4-1,Chile,"Eden Park, Auckland"
