date,competition,home_team,score,away_team,venue
2020-10-09,Friendly,Nigeria,0-1,Algeria,"Sankt Veit an der Glan, Austria"
2020-10-13,Friendly,Mexico,2-2,Algeria,"The Hague, Netherlands"
2020-11-12,2021 AFCON qualification,Algeria,3-1,Zimbabwe,"Algiers, Algeria"
2020-11-16,2021 AFCON qualification,Zimbabwe,2-2,Algeria,"Harare, Zimbabwe"
2021-03-25,2021 AFCON qualification,Zambia,3-3,Algeria,"Lusaka, Zambia"
2021-03-29,2021 AFCON qualification,Algeria,5-0,Botswana,"Blida, Algeria"
2021-06-03,Friendly,Algeria,4-1,Mauritania,"Blida, Algeria"
2021-06-06,Friendly,Algeria,1-0,Mali,"Blida, Algeria"
2021-06-11,Friendly,Tunisia,0-2,Algeria,"Radès, Tunisia"
2021-09-02,2022 FIFA WC qualification,Algeria,8-0,Djibouti,"Blida, Algeria"
2021-09-07,2022 FIFA WC qualification,Burkina Faso,1-1,Algeria,"Marrakesh, Morocco"
2021-10-08,2022 FIFA WC qualification,Algeria,6-1,Niger,"Blida, Algeria"
2021-10-12,2022 FIFA WC qualification,Niger,0-4,Algeria,"Niamey, Niger"
2021-11-12,2022 FIFA WC qualification,Djibouti,0-4,Algeria,"Cairo, Egypt"
2021-11-16,2022 FIFA WC qualification,Algeria,2-2,Burkina Faso,"Blida, Algeria"
2021-12-01,2021 FIFA Arab Cup,Algeria,4-0,Sudan,"Al Rayyan, Qatar"
2021-12-04,2021 FIFA Arab Cup,Lebanon,0-2,Algeria,"Al Wakrah, Qatar"
2021-12-07,2021 FIFA Arab Cup,Algeria,1-1,Egypt,"Al Wakrah, Qatar"
2021-12-11,2021 FIFA Arab Cup QF,Morocco,2-2,Algeria,"Doha, Qatar"
2021-12-15,2021 FIFA Arab Cup SF,Qatar,1-2,Algeria,"Doha, Qatar"
2021-12-18,2021 FIFA Arab Cup Final,Tunisia,0-2,Algeria,"Al Khor, Qatar"
2022-01-05,Friendly,Algeria,3-0,Ghana,"Al Rayyan, Qatar"
2022-01-11,2021 AFCON GS,Algeria,0-0,Sierra Leone,"Douala, Cameroon"
2022-01-16,2021 AFCON GS,Algeria,0-1,Equatorial Guinea,"Douala, Cameroon"
2022-01-20,2021 AFCON GS,Ivory Coast,3-1,Algeria,"Douala, Cameroon"
2022-03-25,2022 FIFA WC qualification,Cameroon,0-1,Algeria,"Douala, Cameroon"
2022-03-29,2022 FIFA WC qualification,Algeria,1-2,Cameroon,"Blida, Algeria"
2022-06-04,2023 AFCON qualification,Algeria,2-0,Uganda,"Algiers, Algeria"
2022-06-08,2023 AFCON qualification,Tanzania,0-2,Algeria,"Dar es Salaam, Tanzania"
2022-06-12,Friendly,Iran,1-2,Algeria,"Doha, Qatar"
2022-09-23,Friendly,Algeria,1-0,Guinea,"Oran, Algeria"
2022-09-27,Friendly,Algeria,2-1,Nigeria,"Oran, Algeria"
2022-11-16,Friendly,Algeria,1-1,Mali,"Oran, Algeria"
