date,competition,home_team,score,away_team,venue
2020-09-04,Nations League,Norway,1-2,Austria,"Oslo, Norway"
2020-09-07,Nations League,Austria,2-3,Romania,"Klagenfurt, Austria"
2020-10-07,Friendly,Austria,2-1,Greece,"Klagenfurt, Austria"
2020-10-11,Nations League,Northern Ireland,0-1,Austria,"Belfast, Northern Ireland"
2020-10-14,Nations League,Romania,0-1,Austria,"Ploiești, Romania"
2020-11-11,Friendly,Luxembourg,0-3,Austria,"Luxembourg City, Luxembourg"
2020-11-15,Nations League,Austria,2-1,Northern Ireland,"Vienna, Austria"
2020-11-18,Nations League,Austria,1-1,Norway,"Vienna, Austria"
2021-03-25,2022 World Cup qualification,Scotland,2-2,Austria,"Glasgow, Scotland"
2021-03-28,2022 World Cup qualification,Austria,3-1,Faroe Islands,"Vienna, Austria"
2021-03-31,2022 World Cup qualification,Austria,0-4,Denmark,"Vienna, Austria"
2021-06-02,Friendly,England,1-0,Austria,"Middlesbrough, England"
2021-06-06,Friendly,Austria,0-0,Slovakia,"Vienna, Austria"
2021-06-13,UEFA Euro 2020 Group C,Austria,3-1,North Macedonia,"Bucharest, Romania"
2021-06-17,UEFA Euro 2020 Group C,Netherlands,2-0,Austria,"Amsterdam, Netherlands"
2021-06-21,UEFA Euro 2020 Group C,Ukraine,0-1,Austria,"Bucharest, Romania"
2021-06-26,Euro 2020 Round of 16,Italy,2-1,Austria,"London, England"
2021-09-01,2022 World Cup qualification,Moldova,0-2,Austria,"Chișinău, Moldova"
2021-09-04,2022 World Cup qualification,Israel,5-2,Austria,"Haifa, Israel"
2021-09-07,2022 World Cup qualification,Austria,0-1,Scotland,"Vienna, Austria"
2021-10-09,2022 World Cup qualification,Faroe Islands,0-2,Austria,"Tórshavn, Faroe Islands"
2021-10-12,2022 World Cup qualification,Denmark,1-0,Austria,"Copenhagen, Denmark"
2021-11-12,2022 World Cup qualification,Austria,4-2,Israel,"Klagenfurt, Austria"
2021-11-15,2022 World Cup qualification,Austria,4-1,Moldova,"Klagenfurt, Austria"
2022-03-24,2022 World Cup qualification,Wales,2-1,Austria,"Cardiff, Wales"
2022-03-29,Friendly,Austria,2-2,Scotland,"Vienna, Austria"
2022-06-03,Nations League,Croatia,0-3,Austria,"Osijek, Croatia"
2022-06-06,Nations League,Austria,1-2,Denmark,"Vienna, Austria"
2022-06-10,Nations League,Austria,1-1,France,"Vienna, Austria"
2022-06-13,Nations League,Denmark,2-0,Austria,"Copenhagen, Denmark"
2022-09-22,Nations League,France,2-0,Austria,"Saint-Denis, France"
2022-09-25,Nations League,Austria,1-3,Croatia,"Vienna, Austria"
2022-11-16,Friendly,Andorra,0-1,Austria,"Málaga, Spain"
2022-11-20,Friendly,Austria,2-0,Italy,"Vienna, Austria"
2023-03-24,UEFA Euro 2024 qualifying,Austria,4-1,Azerbaijan,"Linz, Austria"
2023-03-27,UEFA Euro 2024 qualifying,Austria,2-1,Estonia,"Linz, Austria"
2023-06-17,UEFA Euro 2024 qualifying,Belgium,1-1,Austria,"Brussels, Belgium"
2023-06-20,UEFA Euro 2024 qualifying,Austria,2-0,Sweden,"Vienna, Austria"
2023-09-07,Friendly,Austria,1-1,Moldova,"Linz, Austria"
2023-09-12,UEFA Euro 2024 qualifying,Sweden,1-3,Austria,"Solna, Sweden"
2023-10-13,UEFA Euro 2024 qualifying,Austria,2-3,Belgium,"Vienna, Austria"
2023-10-16,UEFA Euro 2024 qualifying,Azerbaijan,0-1,Austria,"Baku, Azerbaijan"
2023-11-16,UEFA Euro 2024 qualifying,Estonia,0-2,Austria,"Tallinn, Estonia"
2023-11-21,Friendly,Austria,2-0,Germany,"Vienna, Austria"
2024-03-23,Friendly,Slovakia,0-2,Austria,"Bratislava, Slovakia"
2024-03-26,Friendly,Austria,6-1,Turkey,"Vienna, Austria"
2024-06-04,Friendly,Austria,2-1,Serbia,"Vienna, Austria"
2024-06-08,Friendly,Switzerland,1-1,Austria,"St. Gallen, Switzerland"
2024-06-17,UEFA Euro 2024 Group D,Austria,0-1,France,"Düsseldorf, Germany"
2024-06-21,UEFA Euro 2024 Group D,Poland,1-3,Austria,"Berlin, Germany"
2024-06-25,UEFA Euro 2024 Group D,Netherlands,2-3,Austria,"Berlin, Germany"
2024-07-02,UEFA Euro 2024 Round of 16,Austria,1-2,Turkey,"Leipzig, Germany"
2024-09-06,Nations League,Slovenia,1-1,Austria,"Ljubljana, Slovenia"
2024-09-09,Nations League,Norway,2-1,Austria,"Oslo, Norway"
2024-10-10,Nations League,Austria,4-0,Kazakhstan,"Linz, Austria"
2024-10-13,Nations League,Austria,5-1,Norway,"Linz, Austria"
2024-11-14,Nations League,Kazakhstan,0-2,Austria,"Almaty, Kazakhstan"
