date,competition,home_team,score,away_team,venue
2020-11-12,Friendly,Iraq,0-0,Jordan,"Dubai, United Arab Emirates"
2020-11-16,Friendly,Jordan,1-0,Syria,"Sharjah, United Arab Emirates"
2021-02-01,Friendly,Jordan,2-0,Tajikistan,"Dubai, United Arab Emirates"
2021-02-05,Friendly,Jordan,0-1,Tajikistan,"Dubai, United Arab Emirates"
2021-02-15,Friendly,Uzbekistan,2-0,Jordan,"Dubai, United Arab Emirates"
2021-03-20,Friendly,Jordan,0-0,Oman,"Dubai, United Arab Emirates"
2021-03-24,Friendly,Jordan,1-0,Lebanon,"Dubai, United Arab Emirates"
2021-03-30,Friendly,Bahrain,1-2,Jordan,"Riffa, Bahrain"
2021-05-24,Friendly,Jordan,1-5,United Arab Emirates,"Dubai, United Arab Emirates"
2021-05-31,Friendly,Jordan,1-1,Vietnam,"Sharjah, United Arab Emirates"
2021-06-07,2022 World Cup qualification second round,Nepal,0-3,Jordan,"Kuwait City, Kuwait"
2021-06-11,2022 World Cup qualification second round,Kuwait,0-0,Jordan,"Kuwait City, Kuwait"
2021-06-15,2022 World Cup qualification second round,Australia,1-0,Jordan,"Kuwait City, Kuwait"
2021-06-21,2021 Arab Cup qualification,Jordan,3-0,South Sudan,"Doha, Qatar"
2021-09-04,Friendly,Haiti,2-0,Jordan,"Riffa, Bahrain"
2021-09-07,Friendly,Bahrain,1-2,Jordan,"Riffa, Bahrain"
2021-10-06,Friendly,Jordan,4-0,Malaysia,"Amman, Jordan"
2021-10-12,Friendly,Jordan,3-0,Uzbekistan,"Amman, Jordan"
2021-11-10,Friendly,Kosovo,0-2,Jordan,"Pristina, Kosovo"
2021-11-16,Friendly,Belarus,1-0,Jordan,"Minsk, Belarus"
2021-12-01,2021 Arab Cup Group C,Saudi Arabia,0-1,Jordan,"Al Rayyan, Qatar"
2021-12-04,2021 Arab Cup Group C,Jordan,0-4,Morocco,"Al Rayyan, Qatar"
2021-12-07,2021 Arab Cup Group C,Jordan,5-1,Palestine,"Doha, Qatar"
2021-12-11,2021 Arab Cup quarter-finals,Egypt,3-1,Jordan,"Al Wakrah, Qatar"
2022-01-28,Friendly,Jordan,3-1,New Zealand,"Abu Dhabi, United Arab Emirates"
2022-01-31,Friendly,Jordan,2-1,South Sudan,"Dubai, United Arab Emirates"
2022-05-28,Friendly,India,0-2,Jordan,"Doha, Qatar"
2022-06-01,Friendly,Australia,2-1,Jordan,"Doha, Qatar"
2022-06-08,2023 Asian Cup qualification third round,Jordan,2-0,Nepal,"Kuwait City, Kuwait"
2022-06-11,2023 Asian Cup qualification third round,Indonesia,0-1,Jordan,"Kuwait City, Kuwait"
2022-06-14,2023 Asian Cup qualification third round,Jordan,3-0,Kuwait,"Kuwait City, Kuwait"
2022-09-23,Jordan International Tournament semi-finals,Jordan,2-0,Syria,"Amman, Jordan"
2022-09-26,Jordan International Tournament final,Jordan,1-0,Oman,"Amman, Jordan"
2022-11-17,Friendly,Jordan,1-3,Spain,"Amman, Jordan"
2023-03-28,Friendly,Jordan,4-0,Philippines,"Al Wakrah, Qatar"
2023-06-16,Friendly,Serbia,3-2,Jordan,"Vienna, Austria"
2023-06-19,Friendly,Jamaica,1-2,Jordan,"Wiener Neustadt, Austria"
2023-09-07,Friendly,Norway,6-0,Jordan,"Oslo, Norway"
2023-09-12,Friendly,Azerbaijan,2-1,Jordan,"Baku, Azerbaijan"
2023-10-13,Jordan International Tournament semi-finals,Jordan,1-3,Iran,"Amman, Jordan"
2023-10-16,Jordan International Tournament third place,Jordan,2-2,Iraq,"Amman, Jordan"
2023-11-16,2026 World Cup qualification second round,Tajikistan,1-1,Jordan,"Dushanbe, Tajikistan"
2023-11-21,2026 World Cup qualification second round,Jordan,0-2,Saudi Arabia,"Amman, Jordan"
2023-12-28,Friendly,Lebanon,2-1,Jordan,"Tripoli, Lebanon"
2024-01-05,Friendly,Qatar,1-2,Jordan,"Doha, Qatar"
2024-01-09,Friendly,Japan,6-1,Jordan,"Doha, Qatar"
2024-01-15,2023 Asian Cup Group E,Malaysia,0-4,Jordan,"Al Wakrah, Qatar"
2024-01-20,2023 Asian Cup Group E,Jordan,2-2,South Korea,"Doha, Qatar"
2024-01-25,2023 Asian Cup Group E,Jordan,0-1,Bahrain,"Al Rayyan, Qatar"
2024-01-29,2023 Asian Cup round of 16,Iraq,2-3,Jordan,"Al Rayyan, Qatar"
2024-02-02,2023 Asian Cup quarter-finals,Tajikistan,0-1,Jordan,"Al Rayyan, Qatar"
2024-02-06,2023 Asian Cup semi-finals,Jordan,2-0,South Korea,"Al Rayyan, Qatar"
2024-02-10,2023 Asian Cup final,Jordan,1-3,Qatar,"Lusail, Qatar"
2024-03-21,2026 World Cup qualification second round,Pakistan,0-3,Jordan,"Islamabad, Pakistan"
2024-03-26,2026 World Cup qualification second round,Jordan,7-0,Pakistan,"Amman, Jordan"
2024-06-06,2026 World Cup qualification second round,Jordan,3-0,Tajikistan,"Amman, Jordan"
2024-06-11,2026 World Cup qualification second round,Saudi Arabia,1-2,Jordan,"Riyadh, Saudi Arabia"
2024-08-27,Friendly,Jordan,0-0,North Korea,"Amman, Jordan"
2024-08-29,Friendly,Jordan,2-1,North Korea,"Amman, Jordan"
2024-09-05,2026 World Cup qualification third round,Jordan,1-1,Kuwait,"Amman, Jordan"
2024-09-10,2026 World Cup qualification third round,Palestine,1-3,Jordan,"Kuala Lumpur, Malaysia"
2024-10-10,2026 World Cup qualification third round,Jordan,0-2,South Korea,"Amman, Jordan"
2024-10-15,2026 World Cup qualification third round,Jordan,4-0,Oman,"Amman, Jordan"
2024-11-14,2026 World Cup qualification third round,Iraq,0-0,Jordan,"Basra, Iraq"
2024-11-19,2026 World Cup qualification third round,Kuwait,1-1,Jordan,"Kuwait City, Kuwait"
2025-01-27,Friendly,Uzbekistan,0-0,Jordan,"Al Rayyan, Qatar"
2025-03-14,Friendly,Jordan,1-1,North Korea,"Amman, Jordan"
2025-03-20,2026 World Cup qualification third round,Jordan,3-1,Palestine,"Amman, Jordan"
