date,competition,home_team,score,away_team,venue
2020-10-09,2022 FIFA World Cup qualification,Colombia,3-0,Venezuela,"Estadio Metropolitano, Barranquilla"
2020-10-13,2022 FIFA World Cup qualification,Chile,2-2,Colombia,"Estadio Nacional, Santiago"
2020-11-13,2022 FIFA World Cup qualification,Colombia,0-3,Uruguay,"Estadio Metropolitano, Barranquilla"
2020-11-17,2022 FIFA World Cup qualification,Ecuador,6-1,Colombia,"Estadio Rodrigo Paz Delgado, Quito"
2021-06-03,2022 FIFA World Cup qualification,Peru,0-3,Colombia,"Estadio Nacional, Lima"
2021-06-08,2022 FIFA World Cup qualification,Colombia,2-2,Argentina,"Estadio Metropolitano, Barranquilla"
2021-06-13,2021 Copa América,Colombia,1-0,Ecuador,"Arena Pantanal, Cuiabá"
2021-06-17,2021 Copa América,Colombia,0-0,Venezuela,"Estádio Olímpico Pedro Ludovico, Goiânia"
2021-06-20,2021 Copa América,Colombia,1-2,Peru,"Estádio Olímpico Pedro Ludovico, Goiânia"
2021-06-23,2021 Copa América,Colombia,1-2,Brazil,"Estádio Olímpico Nilton Santos, Rio de Janeiro"
2021-07-03,2021 Copa América,Colombia,0-0,Uruguay,"Estádio Nacional Mané Garrincha, Brasília"
2021-07-06,2021 Copa América,Colombia,1-1,Argentina,"Estádio Nacional Mané Garrincha, Brasília"
2021-07-09,2021 Copa América,Colombia,3-2,Peru,"Estádio Nacional Mané Garrincha, Brasília"
2021-09-02,2022 FIFA World Cup qualification,Bolivia,1-1,Colombia,"Estadio Hernando Siles, La Paz"
2021-09-05,2022 FIFA World Cup qualification,Paraguay,1-1,Colombia,"Estadio Defensores del Chaco, Asunción"
2021-09-09,2022 FIFA World Cup qualification,Colombia,3-1,Chile,"Estadio Metropolitano, Barranquilla"
2021-10-07,2022 FIFA World Cup qualification,Uruguay,0-0,Colombia,"Estadio Gran Parque Central, Montevideo"
2021-10-10,2022 FIFA World Cup qualification,Colombia,0-0,Brazil,"Estadio Metropolitano, Barranquilla"
2021-10-14,2022 FIFA World Cup qualification,Colombia,0-0,Ecuador,"Estadio Metropolitano, Barranquilla"
2021-11-11,2022 FIFA World Cup qualification,Brazil,1-0,Colombia,"Arena Corinthians, São Paulo"
2021-11-16,2022 FIFA World Cup qualification,Colombia,0-0,Paraguay,"Estadio Metropolitano, Barranquilla"
2022-01-16,Friendly,Colombia,2-1,Honduras,"DRV PNK Stadium, Fort Lauderdale"
2022-01-28,2022 FIFA World Cup qualification,Colombia,0-1,Peru,"Estadio Metropolitano, Barranquilla"
2022-02-01,2022 FIFA World Cup qualification,Argentina,1-0,Colombia,"Estadio Mario Alberto Kempes, Córdoba"
2022-03-24,2022 FIFA World Cup qualification,Colombia,3-0,Bolivia,"Estadio Metropolitano, Barranquilla"
2022-03-29,2022 FIFA World Cup qualification,Venezuela,0-1,Colombia,"Polideportivo Cachamay, Ciudad Guayana"
2022-06-05,Friendly,Colombia,1-0,Saudi Arabia,"Estadio Nueva Condomina, Murcia"
2022-09-24,Friendly,Colombia,4-1,Guatemala,"Red Bull Arena, Harrison"
2022-09-27,Friendly,Colombia,3-2,Mexico,"Levi's Stadium, Santa Clara"
2022-11-19,Friendly,Colombia,2-0,Paraguay,"DRV PNK Stadium, Fort Lauderdale"
2023-01-28,Friendly,United States,0-0,Colombia,"Dignity Health Sports Park, Carson"
2023-03-24,Friendly,South Korea,2-2,Colombia,"Ulsan Munsu Football Stadium, Ulsan"
2023-03-28,2023 Kirin Challenge Cup,Japan,1-2,Colombia,"Yodoko Sakura Stadium, Osaka"
2023-06-16,Friendly,Colombia,1-0,Iraq,"Mestalla Stadium, Valencia"
2023-06-20,Friendly,Germany,0-2,Colombia,"Arena AufSchalke, Gelsenkirchen"
2023-09-07,2026 FIFA World Cup qualification,Colombia,1-0,Venezuela,"Estadio Metropolitano, Barranquilla"
2023-09-12,2026 FIFA World Cup qualification,Chile,0-0,Colombia,"Estadio Monumental David Arellano, Santiago"
2023-10-12,2026 FIFA World Cup qualification,Colombia,2-2,Uruguay,"Estadio Metropolitano, Barranquilla"
2023-10-17,2026 FIFA World Cup qualification,Ecuador,0-0,Colombia,"Estadio Rodrigo Paz Delgado, Quito"
2023-11-16,2026 FIFA World Cup qualification,Colombia,2-1,Brazil,"Estadio Metropolitano, Barranquilla"
2023-11-21,2026 FIFA World Cup qualification,Paraguay,0-1,Colombia,"Estadio Defensores del Chaco, Asunción"
2023-12-10,Friendly,Colombia,1-0,Venezuela,"DRV PNK Stadium, Fort Lauderdale"
2023-12-16,Friendly,Colombia,3-2,Mexico,"Los Angeles Memorial Coliseum, Los Angeles"
2024-03-22,Friendly,Colombia,1-0,Spain,"London Stadium, London"
2024-03-26,Friendly,Colombia,3-2,Romania,"Metropolitano Stadium, Madrid"
2024-06-08,Friendly,United States,1-5,Colombia,"Commanders Field, Landover"
2024-06-15,Friendly,Colombia,3-0,Bolivia,"Empower Field at Mile High, Denver"
2024-06-24,2024 Copa América,Colombia,2-1,Paraguay,"NRG Stadium, Houston"
2024-06-28,2024 Copa América,Colombia,3-0,Costa Rica,"State Farm Stadium, Glendale"
2024-07-02,2024 Copa América,Colombia,1-1,Brazil,"Levi's Stadium, Santa Clara"
2024-07-06,2024 Copa América,Colombia,5-0,Panama,"State Farm Stadium, Glendale"
2024-07-10,2024 Copa América,Colombia,1-0,Uruguay,"Bank of America Stadium, Charlotte"
2024-07-14,2024 Copa América,Colombia,0-1,Argentina,"Hard Rock Stadium, Miami Gardens"
2024-09-06,2026 FIFA World Cup qualification,Peru,1-1,Colombia,"Estadio Nacional, Lima"
2024-09-10,2026 FIFA World Cup qualification,Colombia,2-1,Argentina,"Estadio Metropolitano, Barranquilla"
2024-10-10,2026 FIFA World Cup qualification,Bolivia,1-0,Colombia,"Estadio Municipal de El Alto, El Alto"
2024-10-15,2026 FIFA World Cup qualification,Colombia,4-0,Chile,"Estadio Metropolitano, Barranquilla"
2024-11-15,2026 FIFA World Cup qualification,Uruguay,3-2,Colombia,"Estadio Centenario, Montevideo"
2024-11-19,2026 FIFA World Cup qualification,Colombia,0-1,Ecuador,"Estadio Metropolitano, Barranquilla"
