date,competition,home_team,score,away_team,venue
2020-09-05,2020 UEFA NL,Portugal,4-1,Croatia,"Porto, Portugal"
2020-09-08,2020 UEFA NL,Sweden,0-2,Portugal,"Solna, Sweden"
2020-10-07,Friendly,Portugal,0-0,Spain,"Lisbon, Portugal"
2020-10-11,2020 UEFA NL,France,0-0,Portugal,"Saint-Denis, France"
2020-10-14,2020 UEFA NL,Portugal,3-0,Sweden,"Lisbon, Portugal"
2020-11-11,Friendly,Portugal,7-0,Andorra,"Lisbon, Portugal"
2020-11-14,2020 UEFA NL,Portugal,0-1,France,"Lisbon, Portugal"
2020-11-17,2020 UEFA NL,Croatia,2-3,Portugal,"Split, Croatia"
2021-03-24,2022 FWC Q.,Portugal,1-0,Azerbaijan,"Turin, Italy"
2021-03-27,2022 FWC Q.,Serbia,2-2,Portugal,"Belgrade, Serbia"
2021-03-30,2022 FWC Q.,Luxembourg,1-3,Portugal,"Luxembourg City, Luxembourg"
2021-06-04,Friendly,Spain,0-0,Portugal,"Madrid, Spain"
2021-06-09,Friendly,Portugal,4-0,Israel,"Lisbon, Portugal"
2021-06-15,Euro 2020 GS,Hungary,0-3,Portugal,"Budapest, Hungary"
2021-06-19,Euro 2020 GS,Portugal,2-4,Germany,"Munich, Germany"
2021-06-23,Euro 2020 GS,Portugal,2-2,France,"Budapest, Hungary"
2021-06-27,Euro 2020 R16,Belgium,1-0,Portugal,"Seville, Spain"
2021-09-01,2022 FWC Q.,Portugal,2-1,Republic of Ireland,"Faro / Loulé, Portugal"
2021-09-04,Friendly,Qatar,1-3,Portugal,"Debrecen, Hungary"
2021-09-07,2022 FWC Q.,Azerbaijan,0-3,Portugal,"Baku, Azerbaijan"
2021-10-09,Friendly,Portugal,3-0,Qatar,"Faro / Loulé, Portugal"
2021-10-12,2022 FWC Q.,Portugal,5-0,Luxembourg,"Faro / Loulé, Portugal"
2021-11-11,2022 FWC Q.,Republic of Ireland,0-0,Portugal,"Dublin, Ireland"
2021-11-14,2022 FWC Q.,Portugal,1-2,Serbia,"Lisbon, Portugal"
2022-03-24,2022 FWC Q.,Portugal,3-1,Turkey,"Porto, Portugal"
2022-03-29,2022 FWC Q.,Portugal,2-0,North Macedonia,"Porto, Portugal"
2022-06-02,2022 UEFA NL,Spain,1-1,Portugal,"Seville, Spain"
2022-06-05,2022 UEFA NL,Portugal,4-0,Switzerland,"Lisbon, Portugal"
2022-06-09,2022 UEFA NL,Portugal,2-0,Czech Republic,"Lisbon, Portugal"
2022-06-12,2022 UEFA NL,Switzerland,1-0,Portugal,"Geneva, Switzerland"
2022-09-24,2022 UEFA NL,Czech Republic,0-4,Portugal,"Prague, Czech Republic"
2022-09-27,2022 UEFA NL,Portugal,0-1,Spain,"Braga, Portugal"
2022-11-17,Friendly,Portugal,4-0,Nigeria,"Lisbon, Portugal"
2022-11-24,2022 FWC GS,Portugal,3-2,Ghana,"Doha, Qatar"
2022-11-28,2022 FWC GS,Portugal,2-0,Uruguay,"Lusail, Qatar"
2022-12-02,2022 FWC GS,South Korea,2-1,Portugal,"Al Rayyan, Qatar"
2022-12-06,2022 FWC R16,Portugal,6-1,Switzerland,"Lusail, Qatar"
2022-12-10,2022 FWC QF,Morocco,1-0,Portugal,"Doha, Qatar"
2023-03-23,Euro 2024 Q.,Portugal,4-0,Liechtenstein,"Lisbon, Portugal"
2023-03-26,Euro 2024 Q.,Luxembourg,0-6,Portugal,"Luxembourg City, Luxembourg"
2023-06-17,Euro 2024 Q.,Portugal,3-0,Bosnia and Herzegovina,"Lisbon, Portugal"
