date,competition,home_team,score,away_team,venue
2020-02-23,Friendly,Uzbekistan,0-1,Belarus,"Al Hamriyah, United Arab Emirates"
2020-09-03,Friendly,Uzbekistan,2-1,Tajikistan,"Tashkent, Uzbekistan"
2020-10-08,Friendly,Uzbekistan,1-2,Iran,"Tashkent, Uzbekistan"
2020-10-12,Friendly,United Arab Emirates,1-2,Uzbekistan,"Dubai, United Arab Emirates"
2020-11-12,Friendly,Syria,1-0,Uzbekistan,"Sharjah, United Arab Emirates"
2020-11-17,Friendly,Uzbekistan,1-2,Iraq,"Dubai, United Arab Emirates"
2021-02-15,Friendly,Uzbekistan,2-0,Jordan,"Dubai, United Arab Emirates"
2021-03-29,Friendly,Uzbekistan,0-1,Iraq,"Tashkent, Uzbekistan"
2021-06-07,2022 WCQ - AFC 2nd round,Uzbekistan,5-0,Singapore,"Riyadh, Saudi Arabia"
2021-06-11,2022 WCQ - AFC 2nd round,Yemen,0-1,Uzbekistan,"Riyadh, Saudi Arabia"
2021-06-15,2022 WCQ - AFC 2nd round,Saudi Arabia,3-0,Uzbekistan,"Riyadh, Saudi Arabia"
2021-09-05,Friendly,Sweden,2-1,Uzbekistan,"Solna, Sweden"
2021-10-09,Friendly,Uzbekistan,5-1,Malaysia,"Amman, Jordan"
2021-10-12,Friendly,Jordan,3-0,Uzbekistan,"Amman, Jordan"
2021-11-15,Friendly,Georgia,1-0,Uzbekistan,"Gori, Georgia"
2022-01-27,Friendly,Uzbekistan,3-0,South Sudan,"Dubai, United Arab Emirates"
2022-03-25,Navruz Cup,Uzbekistan,3-1,Kyrgyzstan,"Namangan, Uzbekistan"
2022-03-29,Navruz Cup,Uzbekistan,4-2,Uganda,"Namangan, Uzbekistan"
2022-06-08,2023 ACQ - 3rd round,Uzbekistan,3-0,Sri Lanka,"Namangan, Uzbekistan"
2022-06-11,2023 ACQ - 3rd round,Maldives,0-4,Uzbekistan,"Namangan, Uzbekistan"
2022-06-14,2023 ACQ - 3rd round,Uzbekistan,2-0,Thailand,"Namangan, Uzbekistan"
2022-09-23,Friendly,Cameroon,0-2,Uzbekistan,"Goyang, South Korea"
2022-09-27,Friendly,Uzbekistan,1-2,Costa Rica,"Suwon, South Korea"
2022-11-16,Friendly,Uzbekistan,2-0,Kazakhstan,"Tashkent, Uzbekistan"
2022-11-20,Friendly,Uzbekistan,0-0,Russia,"Tashkent, Uzbekistan"
2023-03-24,Friendly,Uzbekistan,1-0,Bolivia,"Jeddah, Saudi Arabia"
2023-03-28,Friendly,Uzbekistan,1-1,Venezuela,"Jeddah, Saudi Arabia"
2023-06-11,2023 CAFA Nations Cup,Uzbekistan,3-0,Oman,"Tashkent, Uzbekistan"
2023-06-14,2023 CAFA Nations Cup,Turkmenistan,0-2,Uzbekistan,"Tashkent, Uzbekistan"
2023-06-17,2023 CAFA Nations Cup,Uzbekistan,5-1,Tajikistan,"Tashkent, Uzbekistan"
2023-06-20,2023 CAFA Nations Cup F,Uzbekistan,0-1,Iran,"Tashkent, Uzbekistan"
2023-09-09,Friendly,United States,3-0,Uzbekistan,"St. Louis, United States"
2023-09-12,Friendly,Mexico,3-3,Uzbekistan,"Atlanta, United States"
2023-10-13,Friendly,Vietnam,0-2,Uzbekistan,"Dalian, China"
2023-10-16,Friendly,China,1-2,Uzbekistan,"Dalian, China"
2023-11-16,2026 WCQ / 2027 ACQ,Turkmenistan,1-3,Uzbekistan,"Ashgabat, Turkmenistan"
2023-11-21,2026 WCQ / 2027 ACQ,Uzbekistan,2-2,Iran,"Tashkent, Uzbekistan"
2023-12-25,Friendly,Kyrgyzstan,1-4,Uzbekistan,"Dubai, United Arab Emirates"
2024-01-07,Friendly,Palestine,0-1,Uzbekistan,"Doha, Qatar"
2024-01-13,2023 AFC Asian Cup GS,Uzbekistan,0-0,Syria,"Al Rayyan, Qatar"
2024-01-18,2023 AFC Asian Cup GS,India,0-3,Uzbekistan,"Al Rayyan, Qatar"
2024-01-23,2023 AFC Asian Cup GS,Australia,1-1,Uzbekistan,"Al Wakrah, Qatar"
2024-01-30,2023 AFC Asian Cup R16,Uzbekistan,2-1,Thailand,"Al Wakrah, Qatar"
2024-02-03,2023 AFC Asian Cup QF,Qatar,1-1,Uzbekistan,"Al Khor, Qatar"
2024-03-21,2026 WCQ / 2027 ACQ,Hong Kong,0-2,Uzbekistan,"Mong Kok, Hong Kong"
2024-03-26,2026 WCQ / 2027 ACQ,Uzbekistan,3-0,Hong Kong,"Tashkent, Uzbekistan"
2024-06-06,2026 WCQ / 2027 ACQ,Uzbekistan,3-1,Turkmenistan,"Tashkent, Uzbekistan"
2024-06-11,2026 WCQ / 2027 ACQ,Iran,0-0,Uzbekistan,"Tehran, Iran"
2024-09-05,2026 WCQ - 3rd round,Uzbekistan,1-0,North Korea,"Tashkent, Uzbekistan"
2024-09-10,2026 WCQ - 3rd round,Kyrgyzstan,2-3,Uzbekistan,"Bishkek, Kyrgyzstan"
2024-10-10,2026 WCQ - 3rd round,Uzbekistan,0-0,Iran,"Tashkent, Uzbekistan"
2024-10-15,2026 WCQ - 3rd round,Uzbekistan,1-0,United Arab Emirates,"Tashkent, Uzbekistan"
2024-11-14,2026 WCQ - 3rd round,Qatar,3-2,Uzbekistan,"Al Rayyan, Qatar"
2024-11-19,2026 WCQ - 3rd round,North Korea,0-1,Uzbekistan,"Vientiane, Laos"
2025-01-27,Friendly,Uzbekistan,0-0,Jordan,"Doha, Qatar"
2025-03-20,2026 WCQ - 3rd round,Uzbekistan,1-0,Kyrgyzstan,"Tashkent, Uzbekistan"
2025-03-25,2026 WCQ - 3rd round,Iran,2-2,Uzbekistan,"Tehran, Iran"
2025-06-05,2026 WCQ - 3rd round,United Arab Emirates,0-0,Uzbekistan,"Abu Dhabi, United Arab Emirates"
2025-06-10,2026 WCQ - 3rd round,Uzbekistan,3-0,Qatar,"Tashkent, Uzbekistan"
2025-08-30,2025 CAFA Nations Cup GS,Uzbekistan,1-1,Oman,"Tashkent, Uzbekistan"
2025-09-02,2025 CAFA Nations Cup GS,Turkmenistan,1-2,Uzbekistan,"Tashkent, Uzbekistan"
2025-09-05,2025 CAFA Nations Cup GS,Uzbekistan,4-0,Kyrgyzstan,"Tashkent, Uzbekistan"
2025-09-08,2025 CAFA Nations Cup F,Uzbekistan,1-0,Iran,"Tashkent, Uzbekistan"
2025-10-09,Friendly,Uzbekistan,2-0,Kuwait,"Tashkent, Uzbekistan"
2025-10-13,Friendly,Uzbekistan,1-2,Uruguay,"Malacca City, Malaysia"
2025-11-14,2025 Al Ain International Cup,Uzbekistan,2-0,Egypt,"Al Ain, United Arab Emirates"
2025-11-18,2025 Al Ain International Cup,Iran,0-0,Uzbekistan,"Al Ain, United Arab Emirates"
2026-03-27,2026 FIFA Series,Uzbekistan,3-1,Gabon,"Tashkent, Uzbekistan"
2026-03-30,2026 FIFA Series,Uzbekistan,0-0,Venezuela,"Tashkent, Uzbekistan"
