date,competition,home_team,score,away_team,venue
2020-10-09,Friendly,Mali,3-0,Ghana,"Side, Turkey"
2020-10-12,Friendly,Ghana,5-1,Qatar,"Aksu, Turkey"
2020-11-12,2021 AFCON qualification,Ghana,2-0,Sudan,"Cape Coast, Ghana"
2020-11-17,2021 AFCON qualification,Sudan,1-0,Ghana,"Omdurman, Sudan"
2021-03-25,2021 AFCON qualification,South Africa,1-1,Ghana,"Johannesburg, South Africa"
2021-03-28,2021 AFCON qualification,Ghana,3-1,São Tomé and Príncipe,"Cape Coast, Ghana"
2021-06-08,Friendly,Morocco,1-0,Ghana,"Rabat, Morocco"
2021-06-12,Friendly,Ghana,0-0,Ivory Coast,"Cape Coast, Ghana"
2021-09-03,2022 World Cup qualification,Ghana,1-0,Ethiopia,"Cape Coast, Ghana"
2021-09-06,2022 World Cup qualification,South Africa,1-0,Ghana,"Johannesburg, South Africa"
2021-10-09,2022 World Cup qualification,Ghana,3-1,Zimbabwe,"Cape Coast, Ghana"
2021-10-12,2022 World Cup qualification,Zimbabwe,0-1,Ghana,"Harare, Zimbabwe"
2021-11-11,2022 World Cup qualification,Ethiopia,1-1,Ghana,"Johannesburg, South Africa"
2021-11-14,2022 World Cup qualification,Ghana,1-0,South Africa,"Cape Coast, Ghana"
2022-01-05,Friendly,Algeria,3-0,Ghana,"Al Rayyan, Qatar"
2022-01-10,2021 AFCON GS,Morocco,1-0,Ghana,"Yaoundé, Cameroon"
2022-01-14,2021 AFCON GS,Gabon,1-1,Ghana,"Yaoundé, Cameroon"
2022-01-18,2021 AFCON GS,Ghana,2-3,Comoros,"Garoua, Cameroon"
2022-03-25,2022 World Cup qualification,Ghana,0-0,Nigeria,"Kumasi, Ghana"
2022-03-29,2022 World Cup qualification,Nigeria,1-1,Ghana,"Abuja, Nigeria"
2022-06-01,2023 AFCON qualification,Ghana,3-0,Madagascar,"Cape Coast, Ghana"
2022-06-05,2023 AFCON qualification,Central African Republic,1-1,Ghana,"Luanda, Angola"
2022-06-10,2022 Kirin Cup Soccer,Japan,4-1,Ghana,"Kobe, Japan"
2022-06-14,2022 Kirin Cup Soccer,Ghana,0-0,Chile,"Osaka, Japan"
2022-09-23,Friendly,Brazil,3-0,Ghana,"Le Havre, France"
2022-09-27,Friendly,Nicaragua,0-1,Ghana,"Lorca, Spain"
2022-11-17,Friendly,Ghana,2-0,Switzerland,"Abu Dhabi, United Arab Emirates"
2022-11-24,2022 World Cup GS,Portugal,3-2,Ghana,"Doha, Qatar"
2022-11-28,2022 World Cup GS,South Korea,2-3,Ghana,"Al Rayyan, Qatar"
