date,competition,home_team,score,away_team,venue
2020-09-04,2020–21 Nations League,Slovakia,1-3,Czech Republic,"Bratislava, Slovakia"
2020-09-07,2020–21 Nations League,Czech Republic,1-2,Scotland,"Olomouc, Czech Republic"
2020-10-07,Friendly,Cyprus,1-2,Czech Republic,"Larnaca, Cyprus"
2020-10-11,2020–21 Nations League,Israel,1-2,Czech Republic,"Haifa, Israel"
2020-10-14,2020–21 Nations League,Scotland,1-0,Czech Republic,"Glasgow, Scotland"
2020-11-11,Friendly,Germany,1-0,Czech Republic,"Leipzig, Germany"
2020-11-15,2020–21 Nations League,Czech Republic,1-0,Israel,"Plzeň, Czech Republic"
2020-11-18,2020–21 Nations League,Czech Republic,2-0,Slovakia,"Plzeň, Czech Republic"
2021-03-24,2022 World Cup qualification,Estonia,2-6,Czech Republic,"Lublin, Poland"
2021-03-27,2022 World Cup qualification,Czech Republic,1-1,Belgium,"Prague, Czech Republic"
2021-03-30,2022 World Cup qualification,Wales,1-0,Czech Republic,"Cardiff, Wales"
2021-06-04,Friendly,Italy,4-0,Czech Republic,"Bologna, Italy"
2021-06-08,Friendly,Czech Republic,3-1,Albania,"Prague, Czech Republic"
2021-06-14,UEFA Euro 2020 Group D,Scotland,0-2,Czech Republic,"Glasgow, Scotland"
2021-06-18,UEFA Euro 2020 Group D,Croatia,1-1,Czech Republic,"Glasgow, Scotland"
2021-06-22,UEFA Euro 2020 Group D,Czech Republic,0-1,England,"London, England"
2021-06-27,UEFA Euro 2020 R16,Netherlands,0-2,Czech Republic,"Budapest, Hungary"
2021-07-03,UEFA Euro 2020 QF,Czech Republic,1-2,Denmark,"Baku, Azerbaijan"
2021-09-02,2022 World Cup qualification,Czech Republic,1-0,Belarus,"Ostrava, Czech Republic"
2021-09-05,2022 World Cup qualification,Belgium,3-0,Czech Republic,"Brussels, Belgium"
2021-09-08,Friendly,Czech Republic,1-1,Ukraine,"Plzeň, Czech Republic"
2021-10-08,2022 World Cup qualification,Czech Republic,2-2,Wales,"Prague, Czech Republic"
2021-10-11,2022 World Cup qualification,Belarus,0-2,Czech Republic,"Kazan, Russia"
2021-11-11,Friendly,Czech Republic,7-0,Kuwait,"Olomouc, Czech Republic"
2021-11-16,2022 World Cup qualification,Czech Republic,2-0,Estonia,"Prague, Czech Republic"
2022-03-24,2022 World Cup qualification,Sweden,1-0,Czech Republic,"Solna, Sweden"
2022-03-29,Friendly,Wales,1-1,Czech Republic,"Cardiff, Wales"
2022-06-02,2022–23 Nations League,Czech Republic,2-1,Switzerland,"Prague, Czech Republic"
2022-06-05,2022–23 Nations League,Czech Republic,2-2,Spain,"Prague, Czech Republic"
2022-06-09,2022–23 Nations League,Portugal,2-0,Czech Republic,"Lisbon, Portugal"
2022-06-12,2022–23 Nations League,Spain,2-0,Czech Republic,"Málaga, Spain"
2022-09-24,2022–23 Nations League,Czech Republic,0-4,Portugal,"Prague, Czech Republic"
2022-09-27,2022–23 Nations League,Switzerland,2-1,Czech Republic,"St. Gallen, Switzerland"
2022-11-16,Friendly,Czech Republic,5-0,Faroe Islands,"Olomouc, Czech Republic"
2022-11-19,Friendly,Turkey,2-1,Czech Republic,"Gaziantep, Turkey"
2024-06-18,UEFA Euro 2024 Group F,Portugal,2-1,Czech Republic,"Leipzig, Germany"
2024-06-22,UEFA Euro 2024 Group F,Georgia,1-1,Czech Republic,"Hamburg, Germany"
2024-06-26,UEFA Euro 2024 Group F,Czech Republic,1-2,Turkey,"Hamburg, Germany"
2024-09-07,2024–25 Nations League,Georgia,4-1,Czech Republic,"Tbilisi, Georgia"
2024-09-10,2024–25 Nations League,Czech Republic,3-2,Ukraine,"Prague, Czech Republic"
2024-10-11,2024–25 Nations League,Czech Republic,2-0,Albania,"Prague, Czech Republic"
2024-10-14,2024–25 Nations League,Ukraine,1-1,Czech Republic,"Wrocław, Poland"
2024-11-16,2024–25 Nations League,Albania,0-0,Czech Republic,"Tirana, Albania"
2024-11-19,2024–25 Nations League,Czech Republic,2-1,Georgia,"Olomouc, Czech Republic"
2025-03-22,2026 World Cup qualification,Czech Republic,2-1,Faroe Islands,"Hradec Králové, Czech Republic"
2025-03-25,2026 World Cup qualification,Gibraltar,0-4,Czech Republic,"Faro / Loulé, Portugal"
2025-06-06,2026 World Cup qualification,Czech Republic,2-0,Montenegro,"Plzeň, Czech Republic"
2025-06-09,2026 World Cup qualification,Croatia,5-1,Czech Republic,"Osijek, Croatia"
2025-09-05,2026 World Cup qualification,Montenegro,0-2,Czech Republic,"Podgorica, Montenegro"
2025-09-08,Friendly,Czech Republic,1-1,Saudi Arabia,"Hradec Králové, Czech Republic"
2025-10-09,2026 World Cup qualification,Czech Republic,0-0,Croatia,"Prague, Czech Republic"
2025-10-12,2026 World Cup qualification,Faroe Islands,2-1,Czech Republic,"Tórshavn, Faroe Islands"
2025-11-13,Friendly,Czech Republic,1-0,San Marino,"Karviná, Czech Republic"
2025-11-17,2026 World Cup qualification,Czech Republic,6-0,Gibraltar,"Olomouc, Czech Republic"
2026-03-26,2026 World Cup qualification play-offs,Czech Republic,2-2,Republic of Ireland,"Prague, Czech Republic"
2026-03-31,2026 World Cup qualification play-offs,Czech Republic,2-2,Denmark,"Prague, Czech Republic"
2020-09-30,Friendly,Mexico,3-0,Guatemala,"Mexico City, Mexico"
2020-10-07,Friendly,Netherlands,0-1,Mexico,"Amsterdam, Netherlands"
2020-10-13,Friendly,Mexico,2-2,Algeria,"The Hague, Netherlands"
2020-11-14,Friendly,Mexico,3-2,South Korea,"Wiener Neustadt, Austria"
2020-11-17,Friendly,Japan,0-2,Mexico,"Graz, Austria"
2021-03-27,Friendly,Wales,1-0,Mexico,"Cardiff, Wales"
2021-03-30,Friendly,Costa Rica,0-1,Mexico,"Wiener Neustadt, Austria"
2021-05-29,Friendly,Mexico,2-1,Iceland,"Arlington, Texas, United States"
2021-06-03,Nations League SF,Mexico,0-0,Costa Rica,"Denver, Colorado, United States"
2021-06-06,Nations League F,United States,3-2,Mexico,"Denver, Colorado, United States"
2021-06-12,Friendly,Mexico,0-0,Honduras,"Atlanta, Georgia, United States"
2021-06-30,Friendly,Mexico,3-0,Panama,"Nashville, Tennessee, United States"
2021-07-03,Friendly,Mexico,4-0,Nigeria,"Los Angeles, California, United States"
2021-07-10,2021 Gold Cup,Mexico,0-0,Trinidad and Tobago,"Arlington, Texas, United States"
2021-07-14,2021 Gold Cup,Guatemala,0-3,Mexico,"Dallas, Texas, United States"
2021-07-18,2021 Gold Cup,Mexico,1-0,El Salvador,"Dallas, Texas, United States"
2021-07-24,2021 Gold Cup QF,Mexico,3-0,Honduras,"Glendale, Arizona, United States"
2021-07-29,2021 Gold Cup SF,Mexico,2-1,Canada,"Houston, Texas, United States"
2021-08-01,2021 Gold Cup Final,United States,1-0,Mexico,"Paradise, Nevada, United States"
2021-09-02,2022 World Cup qualification,Mexico,2-1,Jamaica,"Mexico City, Mexico"
2021-09-05,2022 World Cup qualification,Costa Rica,0-1,Mexico,"San José, Costa Rica"
2021-09-08,2022 World Cup qualification,Panama,1-1,Mexico,"Panama City, Panama"
2021-10-07,2022 World Cup qualification,Mexico,1-1,Canada,"Mexico City, Mexico"
2021-10-10,2022 World Cup qualification,Mexico,3-0,Honduras,"Mexico City, Mexico"
2021-10-13,2022 World Cup qualification,El Salvador,0-2,Mexico,"San Salvador, El Salvador"
2021-10-27,Friendly,Mexico,2-3,Ecuador,"Charlotte, North Carolina, United States"
2021-11-12,2022 World Cup qualification,United States,2-0,Mexico,"Cincinnati, Ohio, United States"
2021-11-16,2022 World Cup qualification,Canada,2-1,Mexico,"Edmonton, Canada"
2021-12-08,Friendly,Mexico,2-2,Chile,"Austin, Texas, United States"
2022-01-27,2022 World Cup qualification,Jamaica,1-2,Mexico,"Kingston, Jamaica"
2022-01-30,2022 World Cup qualification,Mexico,0-0,Costa Rica,"Mexico City, Mexico"
2022-02-02,2022 World Cup qualification,Mexico,1-0,Panama,"Mexico City, Mexico"
2022-03-24,2022 World Cup qualification,Mexico,0-0,United States,"Mexico City, Mexico"
2022-03-27,2022 World Cup qualification,Honduras,0-1,Mexico,"San Pedro Sula, Honduras"
2022-03-30,2022 World Cup qualification,Mexico,2-0,El Salvador,"Mexico City, Mexico"
2022-04-27,Friendly,Mexico,0-0,Guatemala,"Orlando, Florida, United States"
2022-05-28,Friendly,Mexico,2-1,Nigeria,"Arlington, Texas, United States"
2022-06-02,Friendly,Mexico,0-3,Uruguay,"Glendale, Arizona, United States"
2022-06-05,Friendly,Mexico,0-0,Ecuador,"Chicago, Illinois, United States"
2022-06-11,Nations League,Mexico,3-0,Suriname,"Torreón, Mexico"
2022-06-14,Nations League,Jamaica,1-1,Mexico,"Kingston, Jamaica"
2022-08-31,Friendly,Mexico,0-1,Paraguay,"Atlanta, Georgia, United States"
2022-09-24,Friendly,Mexico,1-0,Peru,"Pasadena, California, United States"
2022-09-27,Friendly,Mexico,2-3,Colombia,"Santa Clara, California, United States"
2022-11-09,Friendly,Mexico,4-0,Iraq,"Girona, Spain"
2022-11-16,Friendly,Mexico,1-2,Sweden,"Girona, Spain"
2022-11-22,2022 World Cup,Mexico,0-0,Poland,"Doha, Qatar"
2022-11-26,2022 World Cup,Argentina,2-0,Mexico,"Lusail, Qatar"
2022-11-30,2022 World Cup,Saudi Arabia,1-2,Mexico,"Lusail, Qatar"
2023-03-23,Nations League,Suriname,0-2,Mexico,"Paramaribo, Suriname"
