Rank,Team,Points
1,France,"1,877.32"
2,Spain,"1,876.40"
3,Argentina,"1,874.82"
4,England,"1,825.97"
5,Portugal,"1,763.83"
6,Brazil,"1,761.16"
7,Netherlands,"1,757.87"
8,Morocco,"1,756.80"
9,Belgium,"1,734.72"
10,Germany,"1,730.37"
11,Croatia,"1,717.06"
12,Colombia,"1,693.09"
13,Senegal,"1,691.97"
15,Mexico,"1,681.03"
16,USA,"1,673.13"
17,Uruguay,"1,673.07"
18,Japan,"1,660.43"
19,Switzerland,"1,649.40"
20,IR Iran,"1,615.30"
22,Türkiye,"1,599.03"
23,Ecuador,"1,594.79"
24,Austria,"1,593.45"
25,Korea Republic,"1,588.67"
27,Australia,"1,580.68"
28,Algeria,"1,564.26"
29,Egypt,"1,563.24"
30,Canada,"1,556.48"
31,Norway,"1,550.95"
33,Panama,"1,540.64"
34,Côte d'Ivoire,"1,532.97"
37,Sweden,"1,514.77"
38,Czechia,"1,513.74"
41,Paraguay,"1,503.51"
43,Scotland,"1,498.35"
44,Tunisia,"1,483.05"
46,Congo DR,"1,479.64"
49,Uzbekistan,"1,469.40"
55,Qatar,"1,454.96"
57,Iraq,"1,447.13"
59,South Africa,"1,429.73"
61,Saudi Arabia,"1,421.43"
63,Bosnia & Herzegovina,"1,398.23"
64,Jordan,"1,391.45"
68,Cabo Verde,"1,371.13"
73,Ghana,"1,346.31"
82,Curaçao,"1,294.00"
83,Haiti,"1,291.00"
85,New Zealand,"1,281.00"
