nation,form
Algeria,WWLWD
Argentina,LWWWW
Australia,LLLWW
Austria,LWDWW
Belgium,WDWWD
Bosnia and Herzegovina,WWDDD
Brazil,LWDLW
Canada,DDWDD
Cape Verde,WDWDD
Colombia,WWWLL
Croatia,WWWWL
Curacao,DWDLL
Czech Republic,LWWDD
DR Congo,WWWLL
Ecuador,WWDDD
Egypt,WWDWD
England,WWWDL
France,DWWWW
Germany,WWWWW
Ghana,WLLLL
Haiti,WLWWL
Iran,LLWDD
Iraq,WWLLW
Ivory Coast,WWLWW
Japan,WWWWW
Jordan,WWLDD
Mexico,WWWDD
Morocco,DWDDW
Netherlands,WDWWD
New Zealand,LLLLW
Norway,DWWLD
Panama,WDLDW
Paraguay,LWWWL
Portugal,DLWDW
Qatar,WLWLL
Saudi Arabia,DWLLL
Scotland,WLWLL
Senegal,DWDLL
South Africa,LWLDL
South Korea,WWWLL
Spain,WWDWD
Sweden,LLDWW
Switzerland,DWDLD
Tunisia,LDDWD
Turkey,WWDWW
United States,WWWLL
Uruguay,WDLDD
Uzbekistan,LWDWD
