Nation,Played,Won,Lost,Draws,GF,GA,GD
Algeria,10,8,1,1,24,8,16
Argentina,18,12,4,2,31,10,21
Australia,16,11,1,4,38,7,31
Austria,8,6,1,1,22,4,18
Belgium,8,5,0,3,29,7,22
Bosnia and Herzegovina,10,5,1,4,19,9,10
Brazil,18,8,6,4,24,17,7
Cape Verde,8,6,0,2,14,4,10
Colombia,18,7,4,7,28,18,10
Croatia,8,7,0,1,26,4,22
Curacao,10,7,0,3,28,5,23
Czech Republic,10,5,2,3,22,12,10
DR Congo,6,4,1,1,7,2,5
Ecuador,19,8,2,9,14,5,9
Egypt,10,8,0,2,20,2,18
England,8,8,0,0,22,0,22
France,6,5,0,1,16,4,12
Germany,6,5,1,0,16,3,13
Ghana,10,8,1,1,23,6,17
Haiti,10,6,2,2,20,13,7
Iran,16,11,1,4,35,12,23
Iraq,21,13,3,5,32,14,18
Ivory Coast,10,8,0,2,25,0,25
Japan,15,12,1,2,49,3,46
Jordan,16,8,3,5,32,12,20
Morocco,8,8,0,0,22,2,20
Netherlands,8,6,0,2,27,4,23
New Zealand,5,5,0,0,29,1,28
Norway,8,8,0,0,37,5,32
Panama,10,7,0,3,19,5,14
Paraguay,20,7,4,9,14,10,4
Portugal,6,4,1,1,20,7,13
Qatar,14,7,5,2,24,26,-2
Saudi Arabia,18,8,4,6,22,13,9
Scotland,6,4,1,1,13,7,6
Senegal,6,3,0,3,8,1,7
South Africa,6,4,1,1,10,5,5
South Korea,16,11,0,5,40,8,32
Spain,6,5,0,1,21,2,19
Sweden,8,2,4,2,10,15,-5
Switzerland,6,4,0,2,14,2,12
Tunisia,10,9,0,1,22,0,22
Turkey,8,6,1,1,19,12,7
Uruguay,19,7,4,8,22,12,10
Uzbekistan,16,10,1,5,27,11,16
