date,competition,home_team,score,home_score,away_score,away_team,venue,result
2023-09-07,2026 FIFA World Cup qualification,Argentina,1-0,1,0,Ecuador,"Estadio Monumental, Buenos Aires",Argentina
2023-09-07,2026 FIFA World Cup qualification,Colombia,1-0,1,0,Venezuela,"Estadio Metropolitano, Barranquilla",Colombia
2023-09-07,2026 FIFA World Cup qualification,Paraguay,0-0,0,0,Peru,"Estadio Antonio Aranda, Ciudad del Este",Draw
2023-09-08,2026 FIFA World Cup qualification,Brazil,5-1,5,1,Bolivia,"Estadio Olimpico do Para, Belem",Brazil
2023-09-08,2026 FIFA World Cup qualification,Uruguay,3-1,3,1,Chile,"Montevideo, Uruguay",Uruguay
2023-09-12,2026 FIFA World Cup qualification,Bolivia,0-3,0,3,Argentina,"Estadio Hernando Siles, La Paz",Argentina
2023-09-12,2026 FIFA World Cup qualification,Chile,0-0,0,0,Colombia,"Estadio Monumental David Arellano, Santiago",Draw
2023-09-12,2026 FIFA World Cup qualification,Ecuador,2-1,2,1,Uruguay,"Estadio Rodrigo Paz Delgado, Quito",Ecuador
2023-09-12,2026 FIFA World Cup qualification,Peru,0-1,0,1,Brazil,"Estadio Nacional, Lima",Brazil
2023-09-12,2026 FIFA World Cup qualification,Venezuela,1-0,1,0,Paraguay,"Estadio Monumental, Maturin",Venezuela
2023-10-12,2026 FIFA World Cup qualification,Argentina,1-0,1,0,Paraguay,"Estadio Monumental, Buenos Aires",Argentina
2023-10-12,2026 FIFA World Cup qualification,Bolivia,1-2,1,2,Ecuador,"Estadio Hernando Siles, La Paz",Ecuador
2023-10-12,2026 FIFA World Cup qualification,Brazil,1-1,1,1,Venezuela,"Arena Pantanal, Cuiaba",Draw
2023-10-12,2026 FIFA World Cup qualification,Colombia,2-2,2,2,Uruguay,"Estadio Metropolitano, Barranquilla",Draw
2023-10-15,2026 FIFA World Cup qualification,Uruguay,0-0,0,0,Ecuador,"Estadio Centenario, Montevideo",Draw
2023-10-17,2026 FIFA World Cup Qualification,Peru,0-2,0,2,Argentina,"Estadio Nacional, Lima",Argentina
2023-10-17,2026 FIFA World Cup qualification,Ecuador,0-0,0,0,Colombia,"Estadio Rodrigo Paz Delgado, Quito",Draw
2023-10-17,2026 FIFA World Cup qualification,Paraguay,1-0,1,0,Bolivia,"Estadio Defensores del Chaco, Asuncion",Paraguay
2023-10-17,2026 FIFA World Cup qualification,Uruguay,2-0,2,0,Brazil,"Montevideo, Uruguay",Uruguay
2023-11-15,2026 FIFA World Cup qualification,DR Congo,2-0,2,0,Mauritania,"Kinshasa, DR Congo",DR Congo
2023-11-16,2026 FIFA World Cup qualification,Algeria,3-1,3,1,Somalia,"Algiers, Algeria",Algeria
2023-11-16,2027 FIFA World Cup qualification,Japan,5-0,5,0,Myanmar,"Suita, Japan",Japan
2023-11-16,2026 FIFA World Cup qualification,South Korea,5-0,5,0,Singapore,"Seoul, South Korea",South Korea
2023-11-16,2026 FIFA World Cup Qualification,Argentina,0-2,0,2,Uruguay,"La Bombonera, Buenos Aires",Uruguay
2023-11-16,2026 FIFA World Cup qualification,Chile,0-0,0,0,Paraguay,"Estadio Monumental David Arellano, Santiago",Draw
2023-11-16,2026 FIFA World Cup qualification,Colombia,2-1,2,1,Brazil,"Estadio Metropolitano, Barranquilla",Colombia
2023-11-16,2026 FIFA World Cup qualification,Egypt,6-0,6,0,Djibouti,"Cairo, Egypt",Egypt
2023-11-16,2026 FIFA World Cup qualification,Iraq,5-1,5,1,Indonesia,"Basra, Iraq",Iraq
2023-11-16,2026 FIFA World Cup qualification,Venezuela,0-0,0,0,Ecuador,"Estadio Monumental, Maturin",Draw
